GENE_SYMBOL,Log_FoldChange,absLogFC,logCPM,PValue,FDR_adjusted_P.value
SVOPL,6.272,6.272,-0.098,2.24897E-18,1.27415E-16
GP1BB,-6.248,6.248,-1.366,0.000108028,0.000567703
SLC9C2,6.233,6.233,-1.518,5.45094E-19,3.3682E-17
SNAP25,-6.223,6.223,-0.594,0.001581893,0.005652993
TNN,6.211,6.211,-1.876,5.03611E-23,4.45954E-21
TRPM1,6.207,6.207,-2.52,4.65355E-40,1.18941E-37
ASB15,6.204,6.204,-1.8,6.15665E-22,5.01722E-20
CIB3,6.133,6.133,-2.474,2.54021E-22,2.11609E-20
GOLGA6A,6.105,6.105,-1.287,3.87807E-20,2.70887E-18
NMRK2,6.06,6.06,-2.937,3.22843E-16,1.36492E-14
LOC101059915,6.022,6.022,-2.706,2.31514E-15,8.84075E-14
FAM230B,6.002,6.002,-2.228,9.05183E-19,5.40036E-17
ITLN1,5.985,5.985,-2.618,4.02189E-16,1.67209E-14
BATF2,5.976,5.976,3.832,1.4419E-114,4.6332E-111
PCAT4,5.97,5.97,-2.043,2.26917E-16,9.77744E-15
OPCML,-5.951,5.951,-1.867,0.007390348,0.020597733
OASL,5.946,5.946,6.537,1.3313E-100,2.7221E-97
TTLL10,5.936,5.936,-2.074,3.9064E-17,1.8936E-15
HSPA1B,5.903,5.903,2.533,9.36302E-10,1.55764E-08
LMAN1L,5.891,5.891,-3.017,2.10272E-18,1.20036E-16
COMP,5.884,5.884,-0.74,1.45402E-18,8.42882E-17
NT5DC4,5.834,5.834,0.108,1.5812E-36,3.45284E-34
MX2,5.829,5.829,5.95,5.1909E-101,1.16754E-97
HNF1A,5.806,5.806,-1.726,7.26437E-28,8.97749E-26
LAMP3,5.8,5.8,3.66,4.06158E-75,2.76827E-72
LDHC,5.767,5.767,0.21,5.5517E-37,1.2613E-34
LOC101927914,5.762,5.762,-2.842,1.36226E-16,6.11578E-15
AOC4P,5.735,5.735,-2.726,9.42211E-19,5.57689E-17
KRT36,5.734,5.734,-2.071,4.30902E-20,2.97296E-18
MIR4521,5.721,5.721,1.053,1.81607E-29,2.52142E-27
SOAT2,5.689,5.689,-1.324,1.69687E-14,5.6964E-13
PPIAL4C,-5.644,5.644,-2.036,2.87989E-07,3.02903E-06
FAM71A,5.641,5.641,-2.851,1.2925E-17,6.76069E-16
AMHR2,5.62,5.62,-2.903,2.22828E-16,9.63818E-15
MEP1B,5.596,5.596,-2.843,4.60146E-22,3.77723E-20
ZNF534,5.592,5.592,-2.525,4.35489E-19,2.72084E-17
PPEF2,5.578,5.578,3.283,3.02669E-19,1.94504E-17
HSH2D,5.575,5.575,3.634,1.90018E-85,1.78079E-82
STMN2,-5.555,5.555,-0.865,0.006245795,0.017918672
PI16,5.55,5.55,-2.848,2.35818E-18,1.33267E-16
IDO1,5.547,5.547,-0.079,8.28827E-35,1.59333E-32
LINC01662,5.539,5.539,-2.652,3.3031E-18,1.83894E-16
ADAMDEC1,5.513,5.513,-3.125,3.34307E-16,1.41074E-14
BRWD1-AS1,5.503,5.503,-0.492,7.83698E-19,4.70052E-17
HLA-DOA,5.501,5.501,-3.256,1.49491E-14,5.04101E-13
C12orf74,5.495,5.495,-3.014,1.6766E-19,1.09942E-17
TPSB2,5.493,5.493,-1.309,2.30586E-23,2.09127E-21
OR52N4,5.487,5.487,-3.106,3.29246E-17,1.6169E-15
LOC101926933,5.47,5.47,3.235,4.22717E-35,8.34012E-33
RUNX1T1,5.464,5.464,-0.441,2.95736E-16,1.26218E-14
SLC26A3,5.461,5.461,-1.881,8.27782E-19,4.95172E-17
HERC5,5.457,5.457,3.703,1.1606E-112,3.2629E-109
ARHGEF26-AS1,5.453,5.453,-1.157,1.1697E-17,6.16132E-16
PRPH,5.453,5.453,-2.148,2.26049E-16,9.75873E-15
PLSCR2,5.451,5.451,-0.016,7.62798E-68,3.89929E-65
WNT3,-5.45,5.45,-2.173,0.004001414,0.012389841
FLT3,5.439,5.439,-2.911,2.52203E-17,1.24946E-15
COL11A2,5.435,5.435,-2.73,3.97463E-17,1.92252E-15
TNXB,5.429,5.429,-2.248,5.58562E-17,2.66169E-15
OR52N2,5.413,5.413,-3.148,2.34119E-15,8.90998E-14
SLC16A12,5.412,5.412,1.516,5.76719E-31,9.00803E-29
VTRNA2-1,5.412,5.412,-0.434,6.90202E-21,5.17468E-19
ETV3L,5.402,5.402,-3.123,1.8943E-14,6.32146E-13
NR2E1,5.401,5.401,-2.402,6.08569E-20,4.13533E-18
CR1L,5.39,5.39,-3.096,3.96178E-12,9.67932E-11
LOC102724555,5.375,5.375,-2.872,8.88369E-17,4.11136E-15
LINC01225,5.368,5.368,-2.718,1.79505E-15,7.00943E-14
IL21-AS1,5.366,5.366,-3.121,5.2373E-15,1.88175E-13
FREM3,5.356,5.356,-1.812,2.01464E-15,7.77241E-14
BEND4,5.355,5.355,-2.462,3.81903E-16,1.59365E-14
MX1,5.335,5.335,8.171,1.22517E-86,1.31222E-83
SIM1,5.333,5.333,-1.76,3.72097E-15,1.37878E-13
CH25H,5.332,5.332,-0.773,2.09175E-60,9.60154E-58
XIRP1,5.309,5.309,-2.736,3.75467E-17,1.83189E-15
KIAA0319,5.295,5.295,-0.484,6.21777E-27,7.02764E-25
BCAR4,5.282,5.282,-2.996,1.98679E-12,5.06655E-11
OR52B4,5.277,5.277,-3.001,7.52401E-15,2.63598E-13
PECAM1,5.263,5.263,1.606,3.56695E-34,6.74183E-32
MMP13,5.254,5.254,1.953,1.10805E-32,1.88804E-30
DCLK3,5.245,5.245,-2.054,7.87561E-18,4.22764E-16
GBP4,5.229,5.229,3.671,3.5216E-99,6.09288E-96
FAM81B,5.228,5.228,-2.561,2.65604E-24,2.59738E-22
OR5AU1,5.219,5.219,-3.27,1.96387E-13,5.7665E-12
LOC100129291,5.202,5.202,-2.553,7.71972E-14,2.41155E-12
MTRNR2L10,-5.193,5.193,-0.743,0.006362415,0.018204228
FGG,-5.191,5.191,-2.424,0.000757683,0.003030192
LINC00487,5.189,5.189,-2.944,4.35999E-13,1.21971E-11
KHDC3L,5.181,5.181,-3.012,3.04709E-15,1.14225E-13
SMTNL1,5.175,5.175,-1.041,7.69562E-36,1.60268E-33
LOC102725072,5.174,5.174,-0.896,9.00488E-16,3.6103E-14
WFIKKN2,5.169,5.169,-2.92,2.33626E-15,8.90628E-14
KRT83,5.141,5.141,-3.275,9.71178E-14,2.99205E-12
C20orf173,5.138,5.138,-3.01,9.12797E-14,2.82402E-12
HSPA6,5.114,5.114,4.475,1.43695E-36,3.16862E-34
GBP5,5.102,5.102,2.935,1.15499E-84,9.99155E-82
TNFSF13B,5.102,5.102,0.921,8.59315E-23,7.40525E-21
MAP3K19,5.08,5.08,-1.855,5.6741E-19,3.48693E-17
LOC100996335,5.06,5.06,-2.707,9.37566E-19,5.56405E-17
LOC440896,5.055,5.055,-0.971,1.44333E-24,1.44282E-22
ADCYAP1R1,-5.05,5.05,-2.486,0.005164383,0.0152718
FXYD4,5.032,5.032,-2.92,2.01167E-15,7.77241E-14
ITIH3,5.027,5.027,-2.545,2.87641E-16,1.22997E-14
HIGD1C,5.027,5.027,-3.112,3.04183E-13,8.69337E-12
RHBDL3,5.017,5.017,-2.594,7.06183E-14,2.21527E-12
ASMT,5.012,5.012,-2.232,1.6437E-17,8.53813E-16
FLJ34503,5.008,5.008,-3.238,5.76225E-13,1.5767E-11
ISG15,5.002,5.002,7.722,2.62087E-69,1.47371E-66
KRT84,5.001,5.001,-1.968,1.45913E-19,9.62424E-18
PGC,4.997,4.997,-2.69,1.04655E-13,3.20259E-12
BST2,4.992,4.992,3.031,2.71987E-47,8.86598E-45
MAFA,4.988,4.988,-2.237,1.74737E-15,6.84702E-14
ASB17,4.983,4.983,-3.202,2.85793E-13,8.20952E-12
ZAN,4.982,4.982,-2.699,1.26201E-16,5.70324E-15
CPN1,4.981,4.981,-2.939,1.45327E-13,4.34668E-12
LOC101929532,4.964,4.964,-0.675,1.67024E-28,2.14669E-26
ITIH6,4.961,4.961,-2.954,7.98781E-15,2.78218E-13
AIM2,4.95,4.95,-0.943,1.04319E-23,9.7359E-22
CCDC83,4.946,4.946,-1.902,6.25223E-25,6.42124E-23
ZP2,4.946,4.946,-2.824,8.52409E-16,3.43591E-14
IL22RA2,4.945,4.945,-3.427,3.69607E-14,1.19732E-12
CFAP73,4.943,4.943,-0.709,9.61625E-17,4.41405E-15
CDO1,4.938,4.938,-3.306,4.90902E-11,1.01297E-09
RTP4,4.937,4.937,1.951,2.42892E-49,8.53615E-47
ITLN2,4.929,4.929,-2.061,7.10119E-18,3.82105E-16
LRIT3,4.929,4.929,-2.559,9.506E-17,4.37237E-15
CCL5,4.916,4.916,1.554,8.77614E-82,6.80665E-79
SCN4A,4.906,4.906,-2.624,1.03019E-10,2.02545E-09
ASB11,4.886,4.886,-2.32,2.37038E-18,1.33621E-16
RTN1,-4.87,4.87,-0.523,0.003490973,0.011032593
ACTN2,4.869,4.869,-1.646,1.96037E-09,3.12271E-08
LINC00637,4.868,4.868,-1.204,1.67646E-16,7.39351E-15
KIF4B,4.858,4.858,-2.381,8.06438E-16,3.26818E-14
KLHDC7B,4.857,4.857,-2.129,8.6803E-14,2.68922E-12
KCNB1,4.846,4.846,2.719,1.09555E-83,8.8947E-81
KCNH7,4.842,4.842,-1.264,5.68791E-16,2.31762E-14
JAML,4.836,4.836,-2.332,7.00052E-12,1.66268E-10
APOL5,4.833,4.833,-2.987,1.97343E-11,4.37736E-10
FCAMR,4.832,4.832,-3.292,1.86197E-11,4.13828E-10
IFNL4,4.831,4.831,-2.837,8.1798E-14,2.54116E-12
PTPRQ,4.821,4.821,-3.081,2.49637E-11,5.44602E-10
LENG1,-4.816,4.816,-2.474,0.066772934,0.128178507
APOB,-4.806,4.806,-0.788,0.008024514,0.022091477
MYOZ2,4.79,4.79,-3.023,3.82649E-15,1.41091E-13
OAS1,4.78,4.78,6.477,1.99736E-77,1.44918E-74
ACTL7B,4.78,4.78,-3.263,3.21746E-10,5.80796E-09
SLC12A3,4.774,4.774,-1.647,1.65506E-08,2.24251E-07
FNDC7,4.773,4.773,-1.179,7.93105E-21,5.8873E-19
CTRB1,4.772,4.772,-2.769,1.51934E-15,5.99524E-14
LOC101927131,4.768,4.768,-0.438,6.91E-25,7.06454E-23
FAM71F1,4.767,4.767,-2.524,4.6728E-13,1.30236E-11
ACE,4.761,4.761,-2.862,6.82248E-13,1.84659E-11
TRPC2,4.755,4.755,-3.355,1.8167E-11,4.04166E-10
HHLA2,4.754,4.754,-3.285,2.30507E-10,4.27769E-09
TRHR,4.753,4.753,-3.175,2.16123E-11,4.77977E-10
SNX31,4.748,4.748,-1.406,1.91682E-13,5.64309E-12
COL9A3,4.74,4.74,-1.212,7.69029E-22,6.21295E-20
CLCNKA,4.739,4.739,-2.603,2.71782E-08,3.52868E-07
HGFAC,4.731,4.731,-1.722,4.63424E-19,2.87938E-17
CD80,4.725,4.725,-2.544,1.96601E-16,8.56968E-15
CD244,4.72,4.72,-3.357,7.78119E-11,1.5543E-09
IL17C,4.707,4.707,-2.673,1.81191E-11,4.0384E-10
TDH,4.706,4.706,-2.709,8.98521E-13,2.39733E-11
CACNA1S,4.7,4.7,-3.01,1.61892E-09,2.61398E-08
VIT,4.696,4.696,-1.837,1.23082E-18,7.19057E-17
MIR3681HG,4.693,4.693,-2.704,5.71827E-10,9.89348E-09
ANGPTL6,4.691,4.691,-1.01,3.30978E-33,5.86169E-31
ANKRD34B,4.678,4.678,-3.375,1.65701E-12,4.26423E-11
TSGA10IP,4.676,4.676,-1.556,9.16596E-14,2.83188E-12
LINC00486,4.676,4.676,-3.435,6.04202E-11,1.23319E-09
RTBDN,4.649,4.649,-1.923,9.58722E-20,6.41773E-18
PCK1,4.648,4.648,-2.176,5.86429E-17,2.77683E-15
VWA3A,4.637,4.637,-1.186,1.86651E-10,3.52193E-09
NXPE1,4.635,4.635,-2.86,1.22229E-18,7.15931E-17
LINC01660,4.626,4.626,-2.528,4.0149E-09,6.04438E-08
KLKP1,4.623,4.623,-2.067,6.20172E-11,1.2612E-09
PLEKHG7,4.616,4.616,-2.18,4.37974E-21,3.3168E-19
PKD1L1,4.613,4.613,-0.244,1.6281E-22,1.37151E-20
PLA2G12B,4.61,4.61,-3.373,4.96066E-11,1.02175E-09
CYP21A2,4.604,4.604,-2.817,3.14725E-12,7.81325E-11
LOC101928696,4.601,4.601,-3.056,8.06473E-14,2.50888E-12
LINC00565,4.592,4.592,-3.447,1.24419E-11,2.84974E-10
MAEL,4.587,4.587,-2.663,1.78025E-11,3.98027E-10
LRRC15,4.584,4.584,-2.925,1.34856E-13,4.05506E-12
LILRB5,4.584,4.584,-3.155,1.92544E-09,3.07141E-08
PSMB8,4.569,4.569,3.835,9.13618E-29,1.2017E-26
ADAM5,4.567,4.567,-3.211,6.22914E-11,1.26563E-09
LMOD2,4.565,4.565,-2.672,2.62326E-20,1.87309E-18
XAF1,4.559,4.559,3.857,2.0446E-100,3.83235E-97
PLA1A,4.552,4.552,-3.48,1.81344E-11,4.0384E-10
LDB2,-4.552,4.552,-2.726,0.007971625,0.021980849
FGR,4.551,4.551,-0.616,1.24675E-17,6.55186E-16
LRRIQ4,4.551,4.551,-2.952,6.83147E-14,2.149E-12
LOC105376731,4.551,4.551,-3.003,2.76088E-11,5.98244E-10
NLRP9,4.534,4.534,-3.307,4.85372E-10,8.5289E-09
TMEM213,4.532,4.532,0.472,1.43882E-39,3.55625E-37
LOC105372233,4.532,4.532,1.42,4.60693E-28,5.75661E-26
SLC17A8,4.527,4.527,-2.475,1.382E-08,1.89306E-07
RNU6-7,4.526,4.526,-0.331,2.41116E-24,2.37858E-22
RNU6-8,4.526,4.526,-0.331,2.42584E-24,2.38262E-22
GAL3ST3,4.525,4.525,-3.322,2.46193E-08,3.22315E-07
LGR5,4.516,4.516,-1.379,3.73413E-22,3.07649E-20
LINC02213,4.515,4.515,-3.463,3.52247E-11,7.50395E-10
STOML3,4.514,4.514,-2.94,2.35827E-11,5.16593E-10
MSH4,4.5,4.5,0.065,3.9508E-38,9.2564E-36
LINC02076,4.493,4.493,-0.215,3.96236E-23,3.56486E-21
KRT32,4.49,4.49,-1.703,7.24659E-22,5.88413E-20
OAS2,4.488,4.488,6.807,1.5722E-86,1.60736E-83
CCDC116,4.488,4.488,-2.405,9.72313E-23,8.34705E-21
SLC15A3,4.481,4.481,1.95,3.99319E-39,9.76248E-37
LRRC31,4.468,4.468,-3.424,5.3138E-10,9.26495E-09
LRP2,4.467,4.467,-0.347,1.34951E-15,5.3533E-14
DDX60L,4.455,4.455,5.962,1.1435E-129,5.1437E-126
DDX4,4.451,4.451,-3.069,1.68158E-09,2.71126E-08
LINC01783,4.45,4.45,2.902,1.15629E-28,1.51205E-26
AGXT2,4.448,4.448,-3.184,5.59255E-08,6.82886E-07
MAP3K15,4.446,4.446,-0.321,7.94034E-27,8.9297E-25
LINC01347,4.432,4.432,-3.292,6.16833E-10,1.05826E-08
IL13,4.429,4.429,-3.431,2.6218E-11,5.70858E-10
BCL2L14,4.423,4.423,-1.492,2.61424E-33,4.67387E-31
IL10RA,4.418,4.418,-2.421,1.40146E-11,3.18401E-10
FABP5P3,4.417,4.417,-2.768,5.29085E-12,1.26732E-10
OOEP,4.413,4.413,-2.335,6.49764E-17,3.07027E-15
KIAA0408,4.41,4.41,-2.759,2.84382E-13,8.17943E-12
PPBPP2,4.41,4.41,-3.033,1.37463E-12,3.5868E-11
LCN10,4.409,4.409,-3.51,6.81467E-08,8.15611E-07
ACOD1,4.402,4.402,-1.597,3.65049E-29,4.9462E-27
ETV7,4.4,4.4,2.339,2.52463E-57,1.13568E-54
LINC01624,4.393,4.393,-3.201,2.57225E-08,3.36171E-07
ADGRB3,-4.392,4.392,-2.014,0.026946611,0.061146407
NR1I2,4.391,4.391,-2.654,2.23519E-13,6.52908E-12
IL17REL,4.379,4.379,-2.919,4.44249E-08,5.54497E-07
PCP4,-4.376,4.376,-2.853,0.021377408,0.050374088
GGT3P,4.365,4.365,-2.201,1.88108E-07,2.05086E-06
NELL2,-4.359,4.359,-2.778,0.009886271,0.026299469
CNR1,-4.357,4.357,-2.365,0.026615544,0.060492806
DRC1,4.353,4.353,-2.199,3.19016E-15,1.19191E-13
NPC1L1,4.349,4.349,-3.083,9.86533E-12,2.2899E-10
LINC01018,4.348,4.348,-3.026,2.59152E-12,6.49815E-11
FCGR2A,4.326,4.326,2.539,1.35962E-27,1.62663E-25
RASGRP3,4.324,4.324,1.076,1.33219E-38,3.15406E-36
ASXL3,-4.323,4.323,-2.768,0.022172765,0.051965179
VTRNA1-1,4.317,4.317,-1.502,5.01296E-15,1.81857E-13
CASP5,4.317,4.317,-2.958,1.02958E-11,2.3849E-10
NETO1,-4.315,4.315,-2.277,0.001087216,0.004121634
GTF2A1L,4.314,4.314,-3.276,1.30789E-08,1.79784E-07
ACTC1,4.307,4.307,-3.116,1.86206E-09,2.98088E-08
VHLL,4.301,4.301,-2.758,5.90495E-14,1.87591E-12
HMCN2,4.3,4.3,-1.722,1.43393E-12,3.72424E-11
CA4,4.288,4.288,-3.149,2.87231E-10,5.24809E-09
CD180,4.282,4.282,-1.425,3.8195E-26,4.1703E-24
SAMD9L,4.28,4.28,3.97,1.90124E-67,9.50281E-65
RAD21L1,4.27,4.27,-3.277,1.14552E-08,1.59043E-07
FCER1G,4.269,4.269,-0.134,5.47783E-20,3.73356E-18
ABCG8,4.269,4.269,-3.422,1.17128E-10,2.26326E-09
DDX58,4.268,4.268,6.476,2.71954E-91,3.823E-88
KRT19P2,4.265,4.265,-3.476,1.87475E-07,2.04495E-06
PKD1L3,4.263,4.263,-0.931,7.55095E-23,6.55738E-21
HORMAD2,4.258,4.258,-3.245,5.43829E-09,8.04724E-08
SLC26A5,4.255,4.255,-2.811,1.97042E-13,5.77817E-12
BCO1,4.254,4.254,-3.062,6.47489E-15,2.29705E-13
LOC643733,4.253,4.253,-1.396,5.62783E-17,2.67613E-15
MROH2B,4.252,4.252,-3.403,1.03399E-07,1.19203E-06
IAPP,4.249,4.249,-3.126,1.13821E-10,2.20506E-09
ARC,4.237,4.237,-0.749,4.51967E-13,1.26281E-11
EFCAB8,4.234,4.234,-1.314,8.93702E-13,2.38731E-11
TM4SF4,4.225,4.225,-3.163,4.99534E-10,8.76405E-09
KRT33A,4.212,4.212,-3.1,9.38068E-13,2.48809E-11
HOXC8,4.209,4.209,-3.218,4.55008E-09,6.81814E-08
LOC100505664,-4.205,4.205,-2.548,0.001850418,0.006457656
GRIA2,-4.203,4.203,-1.069,0.019669222,0.046993855
ZBTB22,-4.201,4.201,-0.813,0.008178023,0.022448145
LTA,4.194,4.194,-3.501,7.18357E-07,6.82318E-06
GAP43,-4.19,4.19,-1.397,0.019508091,0.046668366
PRR35,4.183,4.183,-3.483,9.67679E-08,1.12307E-06
CHRD,4.182,4.182,-1.849,3.89853E-12,9.54144E-11
OTOF,4.177,4.177,-2.637,1.07531E-06,9.83161E-06
MUC4,4.176,4.176,-3.464,1.9424E-08,2.59896E-07
IQSEC3,4.173,4.173,-2.716,7.10555E-15,2.49326E-13
TLDC2,4.167,4.167,-0.43,2.68916E-48,9.02754E-46
SLC6A12,4.166,4.166,-1.444,4.88579E-24,4.63676E-22
LOC653786,4.163,4.163,1.181,6.10991E-25,6.30385E-23
CD38,4.16,4.16,-0.439,9.2125E-24,8.66978E-22
RLBP1,4.159,4.159,-3.584,1.45971E-07,1.63099E-06
RSPH6A,4.157,4.157,-2.809,1.24353E-14,4.225E-13
PARP15,4.153,4.153,1.075,4.34666E-44,1.30353E-41
MAST1,4.153,4.153,0.139,1.98748E-24,1.97798E-22
DTX1,4.151,4.151,-1.551,1.22984E-15,4.89359E-14
TIGIT,4.148,4.148,-3.358,8.93546E-09,1.26765E-07
ADAM7,4.148,4.148,-3.33,1.25503E-08,1.73073E-07
NLRC5,4.141,4.141,3.856,1.70955E-73,1.0986E-70
SHH,4.141,4.141,-2.384,3.5897E-12,8.83365E-11
PARD6G-AS1,4.14,4.14,1.419,5.63046E-31,8.85597E-29
DNAH12,4.136,4.136,0.183,1.04179E-29,1.49248E-27
ADAMTS10,4.133,4.133,-2.503,1.21436E-09,1.99514E-08
GRM5-AS1,4.133,4.133,-2.082,4.04876E-05,0.000242258
SLC5A11,4.131,4.131,-1.279,2.22356E-14,7.35474E-13
CLEC20A,4.129,4.129,-3.385,3.26653E-11,7.00389E-10
LINC00954,4.128,4.128,0.388,2.99103E-20,2.10891E-18
LAIR1,4.128,4.128,-3.27,1.98805E-08,2.65373E-07
GSTTP1,4.12,4.12,-3.022,2.75095E-10,5.04685E-09
GNAT1,4.12,4.12,-2.8,9.46829E-08,1.10114E-06
LINC00324,4.118,4.118,4.033,1.50465E-27,1.78119E-25
IFI44,4.113,4.113,4.658,4.01656E-68,2.15097E-65
PATL2,4.113,4.113,-2.548,1.34847E-20,9.81548E-19
SPACA4,4.112,4.112,-2.394,4.48228E-14,1.43612E-12
THAP9,4.11,4.11,2.955,2.16758E-24,2.14772E-22
PLEKHS1,4.102,4.102,-1.22,2.03957E-21,1.58186E-19
TDRD5,4.096,4.096,-3.057,2.76997E-09,4.29375E-08
LINC01623,4.095,4.095,-1.931,2.44162E-12,6.1497E-11
PGR,4.092,4.092,-3.039,6.17798E-08,7.49084E-07
LOC105378052,4.09,4.09,-3.453,7.70637E-08,9.11312E-07
SERPINI2,4.082,4.082,-3.443,6.95994E-10,1.18503E-08
F2,4.079,4.079,-1.876,1.05865E-13,3.23521E-12
PEG3,-4.072,4.072,-2.333,0.06310427,0.122441445
TTC39C-AS1,4.065,4.065,-2.327,6.79231E-15,2.38707E-13
LINGO3,4.061,4.061,-2.852,8.27205E-08,9.72073E-07
DDX60,4.056,4.056,5.903,4.29377E-73,2.68265E-70
DNAI2,4.056,4.056,-3.211,2.01864E-07,2.1818E-06
MIR4498,4.055,4.055,-3.506,7.11135E-08,8.48083E-07
LTK,4.05,4.05,-2.775,8.29886E-12,1.95045E-10
IL23R,4.042,4.042,-2.849,7.47668E-12,1.77016E-10
AMY2A,4.03,4.03,-3.273,1.3985E-09,2.28101E-08
MRC1,4.023,4.023,-2.153,4.4642E-11,9.27993E-10
ZG16,4.022,4.022,-1.492,3.73888E-21,2.85067E-19
LINC01586,4.021,4.021,-2.748,3.05384E-10,5.53035E-09
COL9A1,4.013,4.013,-2.664,1.83229E-12,4.69919E-11
METTL7B,4.011,4.011,-3.425,2.31364E-07,2.4792E-06
CXCL13,4.006,4.006,-3.281,2.16398E-09,3.41081E-08
MUC6,4.005,4.005,-3.308,3.16606E-09,4.8575E-08
IL18RAP,4.004,4.004,-3.063,5.24538E-09,7.79254E-08
DDC,3.999,3.999,-3.228,4.75471E-08,5.88893E-07
NCR3,3.996,3.996,-3.616,5.20792E-07,5.15112E-06
TCF23,3.994,3.994,-0.422,5.10475E-18,2.78005E-16
LOC101928144,3.987,3.987,-2.22,3.79824E-14,1.22568E-12
CTSW,3.986,3.986,-0.552,4.01158E-20,2.77626E-18
BOLL,3.984,3.984,-2.799,8.12937E-08,9.56306E-07
KLKB1,3.978,3.978,-2.97,1.35126E-08,1.85434E-07
ASTL,3.978,3.978,-3.473,7.91148E-08,9.34095E-07
LOC105378328,3.977,3.977,-3.458,1.8104E-10,3.4218E-09
GPR55,3.977,3.977,-3.193,4.67225E-08,5.79318E-07
DCT,3.974,3.974,-2.794,6.95224E-11,1.40116E-09
C19orf35,3.967,3.967,-0.935,5.09327E-21,3.83137E-19
MLNR,3.965,3.965,-3.462,5.14366E-07,5.0898E-06
FPR2,3.959,3.959,-3.324,1.26413E-09,2.07085E-08
CD1C,3.959,3.959,-3.421,9.20733E-09,1.30001E-07
LINC01107,3.959,3.959,-3.58,2.90949E-07,3.05653E-06
GREM1,-3.958,3.958,-3.137,0.033163007,0.072565653
LCT,3.957,3.957,-1.516,7.24897E-21,5.41674E-19
CYP2C8,3.952,3.952,-2.351,2.51017E-11,5.47082E-10
PADI6,3.952,3.952,-3.586,1.39387E-08,1.90815E-07
MYBPC3,3.949,3.949,-2.603,7.91687E-15,2.76565E-13
GOLGA8H,-3.947,3.947,-3.041,0.004250336,0.012981879
CFB,3.943,3.943,0.436,5.07398E-33,8.91594E-31
TNFSF14,3.941,3.941,-1.288,1.08954E-19,7.27177E-18
LINC00628,3.941,3.941,-3.076,1.40982E-10,2.69812E-09
