adj.P.Val,P.Value,t,B,logFC,adjLFC,GENE_SYMBOL,Gene.title
7.21E-20,1.17E-22,11.2,40.824248,0.36,0.36,CEBPD,CCAAT/enhancer binding protein delta
8.53E-20,1.48E-22,11.1,40.593909,0.882,0.882,IER3,immediate early response 3
8.53E-20,1.48E-22,11.1,40.591397,0.762,0.762,ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1"
1.61E-19,2.97E-22,11,39.906622,0.758,0.758,CCT6P1,chaperonin containing TCP1 subunit 6 pseudogene 1
2.13E-19,4.14E-22,11,39.582131,0.662,0.662,CCNL1,cyclin L1
4.42E-19,9.09E-22,10.9,38.811247,0.52,0.52,ZCCHC2,zinc finger CCHC-type containing 2
1.65E-18,3.74E-21,10.7,37.425455,0.468,0.468,MICALL2,MICAL like 2
1.86E-18,4.32E-21,10.6,37.284816,0.369,0.369,MSL1,male specific lethal 1 homolog
2.6E-18,6.19E-21,10.6,36.93171,0.853,0.853,NLRC5,NLR family CARD domain containing 5
3.15E-18,7.59E-21,10.6,36.731849,0.569,0.569,TRA2B,transformer 2 beta homolog (Drosophila)
3.37E-18,8.41E-21,10.5,36.63134,0.682,0.682,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase"
4.1E-18,1.06E-20,10.5,36.404106,0.916,0.916,HSH2D,hematopoietic SH2 domain containing
6.04E-18,1.69E-20,10.4,35.949687,0.348,0.348,ATXN7L2,ataxin 7 like 2
7.79E-18,2.22E-20,10.4,35.680125,0.591,0.591,HEXDC,hexosaminidase D
1.04E-17,3.09E-20,-10.4,35.35638,-0.568,0.568,PARS2,"prolyl-tRNA synthetase 2, mitochondrial (putative)"
2.65E-17,8.56E-20,10.2,34.358133,0.72,0.72,MT1E,metallothionein 1E
2.65E-17,8.55E-20,-10.2,34.3584,-0.459,0.459,UBE2W,ubiquitin conjugating enzyme E2 W (putative)
3.11E-17,1.01E-19,10.2,34.191903,0.587,0.587,NFKBIA,NFKB inhibitor alpha
3.24E-17,1.08E-19,10.2,34.128129,0.466,0.466,TBC1D3F,TBC1 domain family member 3F
7.38E-17,2.58E-19,10,33.276702,0.477,0.477,CCNL2,cyclin L2
9.16E-17,3.26E-19,-10,33.048402,-0.411,0.411,SPG21,"spastic paraplegia 21 (autosomal recessive, Mast syndrome)"
1.08E-16,3.88E-19,9.97,32.876907,0.748,0.748,LAT,linker for activation of T-cells
1.25E-16,4.54E-19,9.95,32.722171,0.43,0.43,AFG3L1P,"AFG3 like matrix AAA peptidase subunit 1, pseudogene"
1.54E-16,5.65E-19,9.91,32.508749,0.341,0.341,WASH1,WAS protein family homolog 1
1.58E-16,5.84E-19,9.91,32.47705,0.82,0.82,SOCS1,suppressor of cytokine signaling 1
1.6E-16,5.98E-19,9.91,32.453876,0.605,0.605,BHLHE40,basic helix-loop-helix family member e40
2.71E-16,1.03E-18,9.82,31.92148,0.934,0.934,MALAT1,metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
2.95E-16,1.13E-18,9.81,31.831897,0.473,0.473,MAP3K14,mitogen-activated protein kinase kinase kinase 14
3.37E-16,1.31E-18,9.79,31.687589,0.775,0.775,DHX58,DEXH-box helicase 58
4.44E-16,1.75E-18,9.74,31.402763,0.515,0.515,APBB3,amyloid beta precursor protein binding family B member 3
4.5E-16,1.79E-18,9.74,31.380831,0.595,0.595,AGER,advanced glycosylation end-product specific receptor
5.09E-16,2.07E-18,9.72,31.238746,0.403,0.403,KIAA0895L,KIAA0895 like
5.38E-16,2.2E-18,-9.71,31.178787,-0.56,0.56,RPL14,ribosomal protein L14
7.42E-16,3.07E-18,9.66,30.849875,0.626,0.626,CAPN3,calpain 3
9.32E-16,3.95E-18,9.62,30.605194,0.45,0.45,NFKBIZ,NFKB inhibitor zeta
1.02E-15,4.33E-18,9.61,30.513739,0.41,0.41,ATXN7,ataxin 7
1.3E-15,5.76E-18,9.56,30.23478,0.667,0.667,LOC155060,AI894139 pseudogene
1.49E-15,6.64E-18,9.54,30.096211,0.667,0.667,IL18BP,interleukin 18 binding protein
1.62E-15,7.28E-18,9.53,30.006023,0.863,0.863,ISG20,interferon stimulated exonuclease gene 20
2.28E-15,1.05E-17,9.47,29.645904,0.658,0.658,ITGB1BP2,integrin subunit beta 1 binding protein 2
2.58E-15,1.2E-17,9.45,29.516891,0.422,0.422,TAF1C,"TATA-box binding protein associated factor, RNA polymerase I subunit C"
2.89E-15,1.36E-17,9.43,29.394096,0.359,0.359,ID1,"inhibitor of DNA binding 1, HLH protein"
2.96E-15,1.4E-17,9.43,29.365055,0.419,0.419,AMOTL2,angiomotin like 2
3.03E-15,1.44E-17,9.42,29.336084,0.442,0.442,CYP2D6,cytochrome P450 family 2 subfamily D member 6
4.36E-15,2.14E-17,9.36,28.949757,0.497,0.497,PLCH2,phospholipase C eta 2
4.73E-15,2.34E-17,9.35,28.863836,0.38,0.38,RNF31,ring finger protein 31
4.91E-15,2.44E-17,9.34,28.82247,0.634,0.634,CLEC18B,C-type lectin domain family 18 member B
6.31E-15,3.19E-17,9.3,28.559246,0.612,0.612,SPTBN5,"spectrin beta, non-erythrocytic 5"
6.84E-15,3.48E-17,9.29,28.473921,0.316,0.316,TJAP1,tight junction associated protein 1
1.03E-14,5.4E-17,9.22,28.044075,0.533,0.533,TNFRSF25,TNF receptor superfamily member 25
1.07E-14,5.69E-17,9.21,27.992937,0.391,0.391,TEPSIN,"TEPSIN, adaptor related protein complex 4 accessory protein"
1.07E-14,5.7E-17,9.21,27.991545,0.297,0.297,TRMT1,tRNA methyltransferase 1
1.22E-14,6.51E-17,9.19,27.861164,0.977,0.977,IFIH1,interferon induced with helicase C domain 1
1.23E-14,6.63E-17,9.19,27.842482,0.589,0.589,FAM46A,family with sequence similarity 46 member A
1.25E-14,6.78E-17,9.18,27.82067,0.579,0.579,STAT2,signal transducer and activator of transcription 2
1.58E-14,8.72E-17,9.14,27.575226,0.834,0.834,GLYCTK,glycerate kinase
2.03E-14,1.14E-16,9.1,27.310368,0.785,0.785,TNFAIP3,TNF alpha induced protein 3
2.08E-14,1.17E-16,9.1,27.284887,0.634,0.634,HEMK1,HemK methyltransferase family member 1
2.17E-14,1.23E-16,9.09,27.236423,0.587,0.587,PAQR6,progestin and adipoQ receptor family member 6
2.31E-14,1.32E-16,9.08,27.166369,0.563,0.563,CARD9,caspase recruitment domain family member 9
2.42E-14,1.4E-16,-9.07,27.114164,-0.544,0.544,QKI,"QKI, KH domain containing RNA binding"
3.13E-14,1.84E-16,9.03,26.842843,0.36,0.36,ATAD3B,"ATPase family, AAA domain containing 3B"
3.76E-14,2.25E-16,9,26.648978,0.797,0.797,SP110,SP110 nuclear body protein
5.94E-14,3.61E-16,8.92,26.183846,0.656,0.656,PARP12,poly(ADP-ribose) polymerase family member 12
6.36E-14,3.93E-16,8.91,26.101624,0.352,0.352,NPIPB5,nuclear pore complex interacting protein family member B5
6.36E-14,3.91E-16,8.91,26.106094,0.421,0.421,USP31,ubiquitin specific peptidase 31
7.73E-14,4.82E-16,8.88,25.902008,0.369,0.369,NRBP2,nuclear receptor binding protein 2
9.37E-14,5.9E-16,-8.85,25.704535,-0.523,0.523,EIF4A2,eukaryotic translation initiation factor 4A2
1.08E-13,6.88E-16,8.82,25.552958,0.887,0.887,PLA2G4F,phospholipase A2 group IVF
1.11E-13,7.12E-16,-8.82,25.520633,-0.395,0.395,TMEM261,transmembrane protein 261
1.46E-13,9.47E-16,8.77,25.241413,0.719,0.719,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
1.81E-13,1.21E-15,8.73,25.00107,0.31,0.31,NPIPA1,nuclear pore complex interacting protein family member A1
2.28E-13,1.56E-15,8.69,24.75003,0.583,0.583,PML,promyelocytic leukemia
2.41E-13,1.67E-15,8.68,24.685721,0.631,0.631,GABRE,gamma-aminobutyric acid type A receptor epsilon subunit
2.63E-13,1.84E-15,8.67,24.589954,0.244,0.244,GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3"
2.63E-13,1.83E-15,8.67,24.595269,0.275,0.275,NSUN5P2,NOP2/Sun RNA methyltransferase family member 5 pseudogene 2
2.89E-13,2.03E-15,8.65,24.496131,0.664,0.664,UBQLNL,ubiquilin-like
3.04E-13,2.14E-15,8.64,24.442524,0.518,0.518,PPM1J,"protein phosphatase, Mg2+/Mn2+ dependent 1J"
3.42E-13,2.42E-15,8.62,24.321758,0.653,0.653,NCOA7,nuclear receptor coactivator 7
3.64E-13,2.61E-15,8.61,24.248646,0.733,0.733,ATG16L2,autophagy related 16 like 2
3.77E-13,2.72E-15,-8.6,24.210068,-0.589,0.589,LRRIQ3,leucine rich repeats and IQ motif containing 3
3.9E-13,2.83E-15,8.6,24.169587,0.505,0.505,DTX3L,deltex E3 ubiquitin ligase 3L
3.94E-13,2.87E-15,8.6,24.156571,0.779,0.779,TYMP,thymidine phosphorylase
4.1E-13,3E-15,-8.59,24.114149,-0.408,0.408,KIF3B,kinesin family member 3B
4.1E-13,3.01E-15,8.59,24.109961,0.306,0.306,WASH2P,WAS protein family homolog 2 pseudogene
4.55E-13,3.37E-15,8.57,24.000482,0.956,0.956,ETV7,ETS variant 7
5.42E-13,4.03E-15,8.54,23.8238,0.523,0.523,CHRNA10,cholinergic receptor nicotinic alpha 10 subunit
5.74E-13,4.29E-15,8.53,23.764667,0.376,0.376,EPS8L1,EPS8 like 1
6.17E-13,4.62E-15,8.52,23.690582,0.477,0.477,PARP10,poly(ADP-ribose) polymerase family member 10
6.32E-13,4.76E-15,8.51,23.662132,0.731,0.731,TAP1,"transporter 1, ATP binding cassette subfamily B member"
6.36E-13,4.81E-15,8.51,23.652284,0.361,0.361,KAT2A,lysine acetyltransferase 2A
6.4E-13,4.86E-15,8.51,23.641075,0.344,0.344,FCHSD2,FCH and double SH3 domains 2
6.4E-13,4.91E-15,-8.51,23.63196,-0.436,0.436,LOC100289230,uncharacterized LOC100289230
6.51E-13,5.03E-15,8.51,23.608943,0.35,0.35,PLEKHH3,"pleckstrin homology, MyTH4 and FERM domain containing H3"
6.61E-13,5.13E-15,8.5,23.588359,0.538,0.538,TRIM14,tripartite motif containing 14
8.12E-13,6.36E-15,8.47,23.37921,0.476,0.476,VEGFA,vascular endothelial growth factor A
8.12E-13,6.37E-15,8.47,23.376892,0.507,0.507,ZNF692,zinc finger protein 692
9.24E-13,7.34E-15,-8.45,23.23908,-0.464,0.464,AKR7A3,aldo-keto reductase family 7 member A3
1.06E-12,8.47E-15,8.42,23.099229,0.727,0.727,ZC3H12A,zinc finger CCCH-type containing 12A
1.25E-12,1.01E-14,-8.39,22.924449,-0.485,0.485,LOC646903,uncharacterized LOC646903
1.34E-12,1.09E-14,8.38,22.852085,0.505,0.505,SNORA70,"small nucleolar RNA, H/ACA box 70"
1.48E-12,1.23E-14,8.36,22.734593,0.519,0.519,AVIL,advillin
1.49E-12,1.25E-14,8.36,22.720712,0.952,0.952,SLC15A3,solute carrier family 15 member 3
1.89E-12,1.58E-14,8.32,22.486331,0.301,0.301,MCL1,BCL2 family apoptosis regulator
1.96E-12,1.65E-14,8.31,22.444357,0.48,0.48,ADCY4,adenylate cyclase 4
1.99E-12,1.68E-14,8.31,22.427334,0.198,0.198,ZNF133,zinc finger protein 133
2.1E-12,1.78E-14,8.3,22.372606,0.705,0.705,ADAM8,ADAM metallopeptidase domain 8
2.11E-12,1.8E-14,8.3,22.362316,0.33,0.33,NPIPB3,nuclear pore complex interacting protein family member B3
2.15E-12,1.84E-14,8.3,22.339446,0.282,0.282,HIC2,hypermethylated in cancer 2
2.36E-12,2.04E-14,8.28,22.239846,0.473,0.473,MAMDC4,MAM domain containing 4
2.42E-12,2.1E-14,-8.28,22.211664,-0.5,0.5,MGST1,microsomal glutathione S-transferase 1
2.55E-12,2.22E-14,8.27,22.158054,0.445,0.445,ADAR,"adenosine deaminase, RNA specific"
2.81E-12,2.48E-14,8.25,22.049634,0.759,0.759,PARP9,poly(ADP-ribose) polymerase family member 9
2.92E-12,2.58E-14,8.24,22.00955,0.883,0.883,PLA2G4C,phospholipase A2 group IVC
3.25E-12,2.89E-14,8.22,21.898623,0.466,0.466,HCAR3,hydroxycarboxylic acid receptor 3
3.98E-12,3.59E-14,8.19,21.687554,0.877,0.877,IFITM3,interferon induced transmembrane protein 3
4.84E-12,4.44E-14,8.15,21.479272,0.6,0.6,EME2,essential meiotic structure-specific endonuclease subunit 2
5.21E-12,4.81E-14,8.14,21.401218,0.385,0.385,LOC645513,septin 7 pseudogene
5.33E-12,4.93E-14,8.14,21.377403,0.592,0.592,MYC,v-myc avian myelocytomatosis viral oncogene homolog
5.49E-12,5.1E-14,-8.13,21.344126,-0.253,0.253,DNAJC3-AS1,DNAJC3 antisense RNA 1 (head to head)
5.72E-12,5.33E-14,-8.13,21.300685,-0.493,0.493,PROS1,protein S (alpha)
6.28E-12,5.91E-14,8.11,21.200297,0.648,0.648,MST1P2,macrophage stimulating 1 pseudogene 2
6.66E-12,6.28E-14,8.1,21.141093,0.51,0.51,MST1,macrophage stimulating 1
7.16E-12,6.8E-14,8.09,21.064011,0.265,0.265,SP140L,SP140 nuclear body protein like
7.3E-12,6.95E-14,-8.08,21.041635,-0.215,0.215,MTAP,methylthioadenosine phosphorylase
8.5E-12,8.15E-14,-8.06,20.886903,-0.84,0.84,STBD1,starch binding domain 1
8.53E-12,8.2E-14,8.05,20.880605,0.362,0.362,ENGASE,endo-beta-N-acetylglucosaminidase
8.78E-12,8.49E-14,8.05,20.846356,0.573,0.573,GGT7,gamma-glutamyltransferase 7
8.78E-12,8.47E-14,8.05,20.849361,0.312,0.312,SCO2,SCO2 cytochrome c oxidase assembly protein
8.92E-12,8.65E-14,-8.05,20.82809,-0.635,0.635,LINC00643,long intergenic non-protein coding RNA 643
9.56E-12,9.3E-14,8.03,20.757846,0.334,0.334,GTPBP2,GTP binding protein 2
1.08E-11,1.06E-13,8.01,20.630496,0.473,0.473,LGALS9C,galectin 9C
1.16E-11,1.15E-13,8,20.550442,0.655,0.655,PNPT1,polyribonucleotide nucleotidyltransferase 1
1.18E-11,1.17E-13,8,20.529958,0.435,0.435,CX3CL1,C-X3-C motif chemokine ligand 1
1.18E-11,1.17E-13,-8,20.533978,-0.359,0.359,STXBP4,syntaxin binding protein 4
1.2E-11,1.2E-13,-7.99,20.511361,-0.438,0.438,EXOSC6,exosome component 6
1.27E-11,1.28E-13,7.98,20.448544,0.535,0.535,RAB24,"RAB24, member RAS oncogene family"
1.46E-11,1.48E-13,7.96,20.305478,0.392,0.392,FAM193B,family with sequence similarity 193 member B
1.46E-11,1.49E-13,-7.96,20.299102,-0.349,0.349,WDR31,WD repeat domain 31
1.52E-11,1.56E-13,7.95,20.2557,0.332,0.332,MLLT6,"MLLT6, PHD finger domain containing"
1.74E-11,1.78E-13,7.93,20.124379,0.567,0.567,RNF213,ring finger protein 213
1.77E-11,1.82E-13,7.92,20.104237,0.34,0.34,EBLN2,endogenous Bornavirus-like nucleoprotein 2
1.77E-11,1.82E-13,7.92,20.104677,0.368,0.368,ZBTB2,zinc finger and BTB domain containing 2
1.8E-11,1.86E-13,7.92,20.081057,0.462,0.462,KLF11,Kruppel like factor 11
1.83E-11,1.91E-13,7.92,20.056394,0.425,0.425,KIFC2,kinesin family member C2
1.84E-11,1.92E-13,7.92,20.049957,0.654,0.654,IRF9,interferon regulatory factor 9
1.85E-11,1.94E-13,-7.91,20.038734,-0.497,0.497,FSD1L,fibronectin type III and SPRY domain containing 1 like
2.26E-11,2.38E-13,-7.88,19.84175,-0.396,0.396,LINC00115,long intergenic non-protein coding RNA 115
2.3E-11,2.43E-13,7.88,19.820598,0.736,0.736,IFIT5,interferon induced protein with tetratricopeptide repeats 5
2.33E-11,2.46E-13,7.87,19.807629,0.249,0.249,CRAMP1,cramped chromatin regulator homolog 1
2.77E-11,2.96E-13,7.84,19.627159,0.458,0.458,PRICKLE4,prickle planar cell polarity protein 4
3E-11,3.22E-13,7.83,19.546042,0.312,0.312,NXF1,nuclear RNA export factor 1
3.08E-11,3.32E-13,7.82,19.515214,0.71,0.71,SAP130,Sin3A associated protein 130
3.19E-11,3.46E-13,7.82,19.47436,0.584,0.584,HERC2P2,hect domain and RLD 2 pseudogene 2
3.32E-11,3.63E-13,7.81,19.428151,0.384,0.384,NPIPB9,nuclear pore complex interacting protein family member B9
3.34E-11,3.66E-13,7.81,19.420334,0.337,0.337,ANKRD23,ankyrin repeat domain 23
3.41E-11,3.76E-13,7.8,19.394218,0.496,0.496,TRIM25,tripartite motif containing 25
