GENE_SYMBOL,Log_FoldChange,absLogFC,logCPM,PValue,FDR_adjusted_P.value
TMBIM7P,7.054,7.054,-2.633,5.78171E-25,4.66055E-23
BEND4,7.043,7.043,-1.459,8.95858E-28,1.0197E-25
HSF5,6.99,6.99,-0.785,2.20162E-28,2.80162E-26
TTLL10,6.988,6.988,-1.337,2.037E-23,1.30339E-21
BCAR4,6.983,6.983,-1.995,9.79871E-28,1.10975E-25
RFTN2,6.945,6.945,2.793,2.33627E-42,1.3926E-39
PI16,6.936,6.936,-2.036,2.14072E-33,4.66245E-31
LINC01662,6.934,6.934,-1.785,1.84743E-25,1.56142E-23
PLA2G12B,6.877,6.877,-2.423,3.53805E-22,1.98367E-20
XIRP1,6.87,6.87,-1.778,8.39884E-24,5.78243E-22
KRT38,6.869,6.869,-1.889,1.48036E-22,8.66449E-21
RSPO2,6.868,6.868,-1.287,3.67835E-26,3.41469E-24
OTOA,6.859,6.859,2.444,1.60581E-41,8.26661E-39
HLA-DQB2,6.859,6.859,-2.798,8.48934E-23,5.0992E-21
TRPM1,6.831,6.831,-2.204,8.18403E-26,7.21309E-24
TPSB2,6.806,6.806,-0.116,1.82589E-33,4.05473E-31
KRT36,6.804,6.804,-1.271,1.26289E-36,3.57572E-34
CPN1,6.793,6.793,-1.953,3.16753E-24,2.29961E-22
ZNF534,6.792,6.792,-1.807,3.00763E-25,2.50463E-23
PNLDC1,6.776,6.776,1.075,3.06288E-31,5.46277E-29
FNDC7,6.772,6.772,0.627,2.44472E-32,4.85748E-30
FLT3,6.741,6.741,-2.224,8.79033E-24,6.0154E-22
ACTC1,6.732,6.732,-1.852,1.36266E-19,5.81273E-18
SLC26A3,6.721,6.721,-0.968,3.79651E-25,3.09334E-23
IL21-AS1,6.72,6.72,-2.495,8.94066E-19,3.3761E-17
LOC101927914,6.694,6.694,-2.439,2.33273E-21,1.19275E-19
FCAMR,6.674,6.674,-2.499,1.55137E-23,1.00977E-21
ASB5,6.666,6.666,-1.41,7.17425E-21,3.45753E-19
LRRC31,6.66,6.66,-2.574,4.36156E-21,2.15707E-19
EGR2,6.629,6.629,0.92,2.25304E-28,2.85104E-26
FAM230B,6.629,6.629,-1.841,3.25481E-22,1.84312E-20
TULP2,6.626,6.626,1.212,2.58574E-33,5.57806E-31
IFNL3,6.614,6.614,-2.367,5.47036E-38,1.84939E-35
EFCAB8,6.613,6.613,0.857,5.89138E-31,1.00335E-28
MAFB,6.606,6.606,1.457,7.24388E-29,9.59539E-27
MSH4,6.582,6.582,2.025,2.54054E-43,1.5985E-40
JAML,6.564,6.564,-1.12,3.73595E-21,1.85985E-19
ARHGAP9,6.563,6.563,0.076,2.43809E-23,1.53403E-21
GBP7,6.554,6.554,-2.329,3.35289E-25,2.77176E-23
FAM71F1,6.52,6.52,-1.42,1.94093E-21,1.00835E-19
HLA-DQA1,6.494,6.494,-2.364,1.54442E-16,4.36737E-15
ADAM5,6.487,6.487,-2.302,3.08949E-23,1.93315E-21
CXCL9,6.481,6.481,-0.412,1.04118E-48,9.8266E-46
PADI6,6.478,6.478,-2.835,1.89343E-21,9.90488E-20
CD80,6.427,6.427,-1.382,3.30564E-29,4.48359E-27
IDI2,6.427,6.427,-1.783,9.72834E-24,6.57781E-22
FAM177B,6.42,6.42,-2.005,1.00377E-21,5.36235E-20
LMAN1L,6.417,6.417,-2.799,2.08725E-22,1.19996E-20
LGR5,6.413,6.413,0.204,1.33108E-39,5.384E-37
COL20A1,6.395,6.395,-0.316,7.15391E-27,7.26651E-25
MIR3925,6.383,6.383,-2.84,2.62288E-22,1.49273E-20
GYS2,6.374,6.374,-0.229,1.55293E-36,4.238E-34
ZNF705A,6.373,6.373,-1.334,7.07882E-19,2.72691E-17
RTBDN,6.359,6.359,-0.606,3.39876E-30,5.20172E-28
SLC9C2,6.35,6.35,-1.734,2.57234E-19,1.06131E-17
SNAI1,6.333,6.333,1.545,1.25906E-37,3.96098E-35
OIT3,6.318,6.318,-0.837,7.14232E-28,8.4702E-26
C4BPA,6.309,6.309,-2.508,1.36506E-15,3.3283E-14
POTEE,6.306,6.306,-2.462,1.04331E-18,3.88684E-17
ACE,6.304,6.304,-2.018,1.69279E-22,9.83165E-21
SLC39A12,6.297,6.297,-2.626,1.58816E-16,4.48546E-15
PLEKHG7,6.289,6.289,-1.04,3.86209E-29,5.17635E-27
C20orf173,6.286,6.286,-2.482,8.46417E-19,3.22222E-17
MLC1,6.283,6.283,-0.879,3.08693E-15,7.19363E-14
FREM3,6.28,6.28,-1.144,3.29622E-19,1.34044E-17
CCDC187,6.278,6.278,-2.693,2.50991E-18,8.84168E-17
ARC,6.274,6.274,1.097,4.88622E-27,5.07696E-25
CETP,6.274,6.274,-2.532,2.21343E-23,1.40046E-21
AMY1C,6.273,6.273,-2.22,2.55194E-17,7.89672E-16
VWA3A,6.263,6.263,0.273,1.32014E-21,6.98654E-20
ASB15,6.255,6.255,-1.951,3.3548E-19,1.36182E-17
MATN4,6.243,6.243,-1.214,6.74728E-28,8.08638E-26
CACNA1I,6.236,6.236,-0.222,4.51539E-18,1.53571E-16
CD1C,6.232,6.232,-2.636,1.0681E-18,3.96615E-17
CD69,6.225,6.225,-1.86,3.18186E-22,1.80632E-20
PLA1A,6.186,6.186,-3.017,4.48774E-19,1.76786E-17
COL11A2,6.184,6.184,-1.479,2.98039E-25,2.4911E-23
TAC3,6.18,6.18,-2.655,1.89184E-20,8.60485E-19
LOC440896,6.179,6.179,0.022,1.87459E-27,2.02197E-25
SLC25A47,6.176,6.176,-1.944,1.47809E-30,2.39144E-28
MYOC,6.176,6.176,-2.839,3.88851E-19,1.56445E-17
MYOZ2,6.174,6.174,-2.394,3.48354E-22,1.95796E-20
KRT35,6.168,6.168,-3.018,5.47749E-26,5.00284E-24
STON1-GTF2A1L,6.168,6.168,-1.175,5.28572E-12,7.6748E-11
VHLL,6.164,6.164,-1.661,3.70976E-26,3.42979E-24
COL9A3,6.162,6.162,0.027,5.26284E-40,2.24922E-37
CASP5,6.159,6.159,-1.988,5.07961E-19,1.98719E-17
HORMAD2,6.157,6.157,-2.47,1.92791E-16,5.3516E-15
OR5AU1,6.151,6.151,-2.972,3.12445E-16,8.47568E-15
FCGR3B,6.149,6.149,-3.099,2.86035E-17,8.80296E-16
NRAP,6.129,6.129,-3.023,6.85782E-16,1.75323E-14
DRC1,6.113,6.113,-0.907,2.09244E-32,4.19432E-30
AMHR2,6.113,6.113,-2.777,2.6422E-17,8.14265E-16
STOML3,6.089,6.089,-2.105,3.57778E-16,9.55665E-15
SPACA4,6.087,6.087,-1.053,2.32275E-29,3.20808E-27
ZAN,6.087,6.087,-2.122,1.28973E-25,1.1024E-23
CREB3L3,6.082,6.082,-3.057,8.98031E-21,4.30049E-19
GOLGA6A,6.072,6.072,-1.517,1.01735E-18,3.79639E-17
SLFN14,6.061,6.061,-2.633,4.02187E-16,1.06053E-14
LRTM2,6.04,6.04,-3.009,2.5869E-18,9.09873E-17
PASD1,6.027,6.027,-3.039,3.2261E-18,1.11735E-16
PKD1L1,6.022,6.022,1.05,6.05973E-38,2.01851E-35
TRPC2,6.008,6.008,-3.006,9.01913E-17,2.62587E-15
LOC100129291,6.002,6.002,-2.152,3.33095E-20,1.4794E-18
PKD1L3,5.996,5.996,0.598,1.93353E-36,5.21386E-34
ETV3L,5.987,5.987,-2.933,6.16084E-20,2.67849E-18
ITLN1,5.95,5.95,-2.736,2.89762E-14,5.84452E-13
MYO1A,5.941,5.941,0.633,1.49075E-23,9.75921E-22
CATSPERD,5.939,5.939,-0.086,7.72906E-42,4.37678E-39
ENPP6,5.933,5.933,1.14,5.47259E-35,1.36219E-32
LOC643733,5.931,5.931,-0.142,1.98885E-21,1.03088E-19
LCT,5.926,5.926,0.064,1.37009E-31,2.52308E-29
PLSCR2,5.921,5.921,0.343,2.61926E-53,4.23777E-50
NR2E1,5.917,5.917,-2.22,7.57606E-23,4.58838E-21
OOSP1,5.91,5.91,-2.77,3.34018E-15,7.74395E-14
FLJ34503,5.905,5.905,-2.949,1.79279E-18,6.45602E-17
C9orf152,5.9,5.9,-1.363,1.83169E-26,1.76551E-24
CCDC190,5.892,5.892,-1.588,2.16832E-23,1.37576E-21
PLCL1,5.887,5.887,-1.255,1.22976E-20,5.76714E-19
TRPC5OS,5.876,5.876,-2.751,4.18951E-17,1.26867E-15
GNAT1,5.87,5.87,-1.907,2.40519E-18,8.48597E-17
HGFAC,5.863,5.863,-0.875,3.27598E-37,9.63691E-35
TARP,5.862,5.862,-3.082,3.35052E-16,9.00269E-15
GATA5,5.858,5.858,-3.109,8.92982E-18,2.95716E-16
TDRD12,5.852,5.852,0.183,5.60788E-33,1.17615E-30
A4GNT,5.85,5.85,-2.753,4.7932E-12,7.02269E-11
HEATR9,5.839,5.839,-1.689,8.3419E-29,1.09221E-26
GRAP,5.833,5.833,0.776,9.67813E-24,6.56345E-22
CXCL10,5.827,5.827,3.94,3.67565E-73,2.08143E-69
DNAH12,5.826,5.826,1.716,8.48707E-47,6.86573E-44
LINC02150,5.823,5.823,-0.861,2.70439E-26,2.54179E-24
FAM19A4,5.815,5.815,-1.908,2.20292E-15,5.24337E-14
LINC00877,5.808,5.808,-3.117,2.33611E-13,4.16001E-12
FCGR3A,5.806,5.806,-2.912,3.25809E-15,7.56912E-14
HSPA6,5.796,5.796,5.114,6.96475E-66,2.62931E-62
FAM216B,5.782,5.782,-2.867,1.07051E-17,3.50914E-16
LINC00284,5.782,5.782,-2.461,8.12519E-17,2.37783E-15
UCMA,5.77,5.77,-3.221,5.55155E-16,1.43548E-14
IL23R,5.763,5.763,-1.968,1.17421E-20,5.54107E-19
LDHAL6A,5.757,5.757,1.27,1.65861E-44,1.0734E-41
TMCO2,5.753,5.753,-2.273,6.88929E-19,2.65842E-17
SCN4A,5.75,5.75,-2.192,3.41242E-13,5.89585E-12
C9orf57,5.746,5.746,-2.926,4.90591E-15,1.11458E-13
OFCC1,5.741,5.741,-1.698,1.31642E-18,4.83277E-17
SNX31,5.738,5.738,-0.671,2.31015E-19,9.60131E-18
THEGL,5.722,5.722,-1.242,8.25879E-25,6.49548E-23
MAP3K19,5.72,5.72,-1.521,1.09701E-23,7.30835E-22
ASB11,5.711,5.711,-1.897,2.6773E-18,9.37302E-17
CATSPER4,5.7,5.7,-2.34,1.60667E-20,7.36694E-19
DLL4,5.686,5.686,-1.717,6.08589E-24,4.22857E-22
WDR49,5.676,5.676,1.553,1.32452E-34,3.15807E-32
ANGPTL6,5.668,5.668,-0.227,1.42607E-45,1.0135E-42
AZU1,5.664,5.664,-2.662,2.24251E-18,7.98665E-17
NUP210L,5.657,5.657,3.382,2.01824E-60,5.07945E-57
LOC388813,5.652,5.652,-2.839,4.69081E-16,1.22533E-14
VTRNA1-3,5.651,5.651,4.284,8.72775E-57,1.7972E-53
CD53,5.644,5.644,-2.142,1.51861E-20,7.00368E-19
CD1A,5.632,5.632,-2.802,1.31772E-20,6.16685E-19
DCT,5.63,5.63,-1.969,8.94292E-19,3.3761E-17
KRT83,5.63,5.63,-3.192,8.97714E-15,1.97121E-13
WNT8A,5.624,5.624,-3.213,1.11793E-13,2.07901E-12
ITIH3,5.619,5.619,-2.317,7.09875E-19,2.72995E-17
FAM71E2,5.619,5.619,-2.805,9.70679E-15,2.11615E-13
MGAM2,5.618,5.618,-2.105,3.22531E-16,8.72838E-15
CCDC13-AS1,5.616,5.616,-1.623,1.42187E-30,2.32557E-28
SYP-AS1,5.612,5.612,-3.172,4.54908E-16,1.19261E-14
LINC01977,5.606,5.606,-1.816,3.4533E-24,2.47534E-22
LINC01498,5.601,5.601,-0.773,1.46277E-25,1.24094E-23
KLHL10,5.599,5.599,-0.739,1.68773E-27,1.83792E-25
IL13,5.599,5.599,-3.131,6.22636E-16,1.60265E-14
OR52B4,5.598,5.598,-3.011,3.07076E-14,6.17725E-13
LINC00160,5.593,5.593,-1.941,9.84786E-23,5.88559E-21
COL24A1,5.593,5.593,-1.765,3.95119E-19,1.57845E-17
CELA1,5.593,5.593,-3.214,6.22754E-14,1.19949E-12
CHRD,5.587,5.587,-0.79,1.06025E-26,1.03964E-24
C2orf71,5.58,5.58,-2.033,1.14913E-18,4.25311E-17
DOK6,5.58,5.58,-0.101,1.82881E-14,3.79796E-13
SLC6A13,5.577,5.577,-0.488,7.93404E-28,9.21162E-26
SCGN,5.575,5.575,-3.319,5.16795E-15,1.16942E-13
OR52N4,5.565,5.565,-3.192,1.96334E-14,4.05762E-13
TLR9,5.56,5.56,-2.304,4.62482E-24,3.26345E-22
KCNH7,5.56,5.56,-0.839,6.48472E-16,1.66348E-14
PECAM1,5.557,5.557,1.857,1.43141E-31,2.61474E-29
TEX14,5.556,5.556,1.613,3.64748E-30,5.5449E-28
IFITM5,5.545,5.545,-2.903,1.25739E-16,3.61437E-15
LOC101929532,5.533,5.533,-0.311,1.38459E-35,3.52385E-33
BTLA,5.526,5.526,-2.353,7.17697E-13,1.18058E-11
LHX3,5.525,5.525,-3.193,1.63283E-15,3.95141E-14
STPG3,5.518,5.518,-1.234,3.07944E-25,2.55503E-23
LRRC15,5.516,5.516,-2.599,1.12689E-17,3.6727E-16
ZCCHC12,5.512,5.512,-2.924,4.12522E-14,8.16785E-13
TCTE1,5.509,5.509,-2.16,2.90226E-21,1.45763E-19
LOC100506175,5.5,5.5,-3.23,1.27879E-15,3.13144E-14
AMY1B,5.498,5.498,-2.227,1.57019E-19,6.6442E-18
TEX43,5.489,5.489,-2.756,5.7414E-14,1.10963E-12
PPBPP2,5.488,5.488,-2.672,3.27577E-14,6.57213E-13
ERICH3-AS1,5.487,5.487,-2.658,3.42365E-14,6.85063E-13
LINC01018,5.485,5.485,-2.567,4.80979E-19,1.88815E-17
C17orf47,5.485,5.485,-2.959,5.46586E-16,1.41818E-14
LINC01624,5.477,5.477,-2.887,1.33809E-11,1.82037E-10
LINC00158,5.476,5.476,-2.52,1.751E-17,5.56267E-16
GPR84,5.473,5.473,-2.507,3.92372E-19,1.5753E-17
ZP2,5.467,5.467,-2.699,6.89168E-16,1.7599E-14
SLC5A11,5.463,5.463,-0.261,2.10951E-21,1.08844E-19
ETNPPL,5.459,5.459,-3.2,5.6157E-13,9.40143E-12
NLRP9,5.455,5.455,-3.04,2.95499E-13,5.15666E-12
IQSEC3,5.45,5.45,-2.195,1.05947E-18,3.94058E-17
KRT84,5.448,5.448,-1.817,8.68359E-26,7.56507E-24
SIM1,5.442,5.442,-1.863,8.00724E-14,1.51776E-12
RGS16,5.437,5.437,1.991,8.14652E-35,2.00573E-32
RLBP1,5.435,5.435,-3.287,2.3552E-14,4.81911E-13
C19orf35,5.411,5.411,0.242,8.57595E-39,3.14067E-36
GRAPL,5.407,5.407,-0.751,1.36124E-22,7.98795E-21
CXCR4,5.407,5.407,-2.778,5.45158E-14,1.05995E-12
LOC100130370,5.406,5.406,-3.053,1.38573E-14,2.93622E-13
PPP1R36,5.393,5.393,1.154,3.55765E-36,9.48052E-34
TNXB,5.391,5.391,-2.416,1.41291E-17,4.55894E-16
ACTN2,5.391,5.391,-1.4,8.05677E-11,9.74861E-10
IDI2-AS1,5.384,5.384,-0.474,5.16151E-37,1.47992E-34
KCNA6,5.378,5.378,-0.449,5.68565E-17,1.69678E-15
LINC00628,5.377,5.377,-2.484,1.34483E-23,8.88097E-22
KRT27,5.375,5.375,-2.835,2.21816E-16,6.12725E-15
RIIAD1,5.373,5.373,-2.392,1.54273E-14,3.2386E-13
LINC00528,5.372,5.372,-2.373,1.20165E-22,7.08819E-21
KCNQ2,5.36,5.36,-2.949,4.63497E-12,6.80847E-11
FGF18,5.35,5.35,-1.916,1.65286E-22,9.64292E-21
DNAI2,5.349,5.349,-2.743,7.80551E-14,1.48449E-12
FXYD4,5.346,5.346,-2.826,3.94115E-19,1.57723E-17
PCDH17,5.346,5.346,0.607,3.601E-12,5.37328E-11
SLC26A10,5.344,5.344,-2.972,3.73012E-16,9.91677E-15
TRPM5,5.342,5.342,-0.822,4.53975E-33,9.61026E-31
FBXO47,5.34,5.34,-1.24,1.00009E-24,7.78453E-23
MIR7515HG,5.339,5.339,-1.316,7.02717E-30,1.03359E-27
SPATA22,5.335,5.335,-2.93,1.73262E-16,4.85713E-15
MAFA,5.331,5.331,-2.236,2.39073E-17,7.44875E-16
PLCE1-AS1,5.329,5.329,-3.008,4.35284E-13,7.42441E-12
AKAP14,5.323,5.323,-3.014,1.04719E-13,1.95387E-12
AOAH,5.319,5.319,-2.392,7.46646E-14,1.42239E-12
NAALAD2,5.317,5.317,1.148,8.46404E-32,1.62474E-29
DNAH10,5.306,5.306,1.508,1.67178E-24,1.2793E-22
KCNB1,5.287,5.287,3.105,2.90117E-55,5.47619E-52
RSPH10B,5.282,5.282,0.171,4.61004E-47,3.86749E-44
LSMEM1,5.279,5.279,0.884,1.10595E-29,1.55595E-27
SLC28A1,5.278,5.278,-2.388,1.08994E-17,3.56253E-16
LILRB5,5.273,5.273,-2.932,7.87853E-14,1.49586E-12
ACSM4,5.269,5.269,-2.605,4.64275E-16,1.21435E-14
OTOF,5.266,5.266,-2.164,7.57387E-11,9.20364E-10
DTX1,5.265,5.265,-0.793,5.67674E-26,5.16401E-24
SEMA3G,5.265,5.265,-0.039,2.42035E-22,1.38094E-20
SERPINI2,5.265,5.265,-3.148,2.20374E-15,5.24337E-14
RBPJL,5.256,5.256,-2.359,1.39258E-24,1.06927E-22
RHBDL3,5.252,5.252,-2.56,3.77605E-16,1.00271E-14
ADAMTS20,5.25,5.25,-2.431,1.72419E-17,5.49291E-16
MS4A3,5.25,5.25,-2.458,3.3917E-15,7.85536E-14
BTN1A1,5.245,5.245,-2.692,3.11891E-14,6.26854E-13
WFIKKN2,5.241,5.241,-2.973,2.31206E-13,4.12366E-12
IFIT2,5.24,5.24,5.525,8.50386E-90,1.92621E-85
NXPE1,5.232,5.232,-2.675,3.97036E-23,2.47068E-21
CXCL11,5.226,5.226,3.178,2.43455E-63,7.02946E-60
FCGR2B,5.213,5.213,-1.448,3.47071E-19,1.40384E-17
VIT,5.209,5.209,-1.612,1.05318E-20,5.01169E-19
PTGER3,5.206,5.206,-2.171,3.61009E-16,9.62024E-15
RSPH6A,5.205,5.205,-2.336,2.23986E-20,1.01268E-18
LINC02365,5.199,5.199,-2.701,1.13809E-17,3.70386E-16
FCER1A,5.199,5.199,-3.328,2.20187E-12,3.37674E-11
LENG1,-5.187,5.187,-2.389,0.078979939,0.120421015
LOC105378328,5.177,5.177,-3.189,1.50781E-11,2.039E-10
AIM2,5.174,5.174,-0.862,4.88832E-22,2.681E-20
ABCB1,5.174,5.174,-2.481,1.08825E-09,1.07454E-08
CFAP61,5.166,5.166,-1.275,7.50817E-22,4.04923E-20
CCDC83,5.166,5.166,-1.951,1.84853E-20,8.44173E-19
RTP2,5.165,5.165,-3.163,4.96219E-13,8.38171E-12
ABCG8,5.16,5.16,-3.21,4.20264E-15,9.65456E-14
CYP7A1,5.16,5.16,-3.1,5.53289E-13,9.2765E-12
CLCNKA,5.157,5.157,-2.426,1.14933E-13,2.13039E-12
RYBP,5.156,5.156,2.404,8.76825E-51,1.16829E-47
CMPK2,5.153,5.153,2.689,3.49264E-47,3.04276E-44
MIA,5.152,5.152,-2.456,2.02855E-09,1.91214E-08
DGCR9,5.149,5.149,-3.24,5.27813E-14,1.02976E-12
AMY1A,5.148,5.148,-2.501,1.00179E-16,2.89803E-15
GDPD4,5.146,5.146,-2.349,2.40191E-13,4.26711E-12
ASMT,5.142,5.142,-2.19,1.08951E-18,4.03904E-17
RND1,5.138,5.138,2.953,1.43181E-45,1.0135E-42
IL17REL,5.136,5.136,-2.663,8.75708E-13,1.426E-11
ITIH6,5.11,5.11,-3.075,6.45039E-10,6.66855E-09
MB,5.099,5.099,-2.702,1.08332E-17,3.54599E-16
MYO1G,5.096,5.096,0.35,1.3015E-39,5.36004E-37
GIF,5.093,5.093,-2.762,2.51834E-14,5.12515E-13
ACAN,5.092,5.092,-1.443,1.01983E-29,1.44377E-27
TSGA10IP,5.091,5.091,-1.384,2.03658E-17,6.40488E-16
PTH1R,5.087,5.087,-2.999,2.53791E-11,3.3057E-10
PTPRQ,5.083,5.083,-3.098,4.75944E-13,8.06931E-12
ALDH8A1,5.074,5.074,0.988,1.43969E-36,3.97688E-34
ZBBX,5.072,5.072,-2.13,2.2493E-13,4.02123E-12
SNORD115-17,5.067,5.067,-3.386,2.73589E-13,4.8002E-12
SNORD115-18,5.067,5.067,-3.386,2.74036E-13,4.80432E-12
SNORD115-19,5.067,5.067,-3.386,2.74393E-13,4.80686E-12
CYP2G1P,5.063,5.063,-3.071,9.3217E-13,1.51142E-11
FOSB,5.06,5.06,3.346,2.16299E-37,6.7115E-35
F10,5.057,5.057,-3.242,6.42235E-14,1.23596E-12
PPEF2,5.056,5.056,2.776,1.42066E-14,2.99621E-13
BPIFC,5.049,5.049,-2.839,1.48822E-13,2.70977E-12
LGI2,5.042,5.042,-2.285,7.30094E-09,6.24994E-08
PATL2,5.036,5.036,-2.108,9.99073E-30,1.42327E-27
LINGO3,5.036,5.036,-2.469,8.87294E-14,1.67345E-12
TREML4,5.036,5.036,-3.135,1.54454E-12,2.42448E-11
IL10RA,5.034,5.034,-2.139,7.87517E-16,1.99754E-14
IRF4,5.033,5.033,-0.901,3.85841E-19,1.5551E-17
TKTL1,5.033,5.033,-3.256,4.11479E-12,6.09974E-11
C8orf46,5.018,5.018,0.879,2.93764E-21,1.47214E-19
AVPR2,5.017,5.017,-3.301,5.46667E-12,7.90712E-11
RASD1,5.011,5.011,1.841,7.34935E-29,9.6785E-27
AFM,5.005,5.005,-3.229,4.41859E-11,5.58825E-10
TCAM1P,5.004,5.004,-1.046,8.90196E-27,8.84379E-25
RPE65,5,5,-3.313,1.34689E-10,1.57666E-09
TBC1D26,4.998,4.998,-3.075,2.54502E-16,6.96224E-15
FAM81B,4.998,4.998,-2.893,1.03907E-14,2.25008E-13
CCDC110,4.996,4.996,-1.235,3.72398E-14,7.42042E-13
FAM3D-AS1,4.996,4.996,-3.241,5.44418E-12,7.87963E-11
GRM8,4.995,4.995,-1.451,4.62198E-15,1.05324E-13
ZSCAN10,4.994,4.994,-1.971,1.41125E-14,2.97915E-13
RPL3L,4.993,4.993,1.349,3.23233E-49,3.66078E-46
CFAP73,4.988,4.988,-0.774,3.27442E-26,3.05222E-24
LYVE1,4.987,4.987,-3.196,3.08259E-11,3.97178E-10
FTCD,4.986,4.986,-3.133,5.4927E-11,6.83976E-10
LOC100128239,4.982,4.982,-0.893,4.43059E-20,1.94491E-18
PCK1,4.981,4.981,-2.073,1.78262E-18,6.42965E-17
MSTN,4.977,4.977,-2.846,3.48717E-16,9.33663E-15
MAST1,4.974,4.974,0.836,1.37184E-34,3.23682E-32
LRP2,4.971,4.971,-0.067,7.31661E-17,2.16639E-15
OTOL1,4.971,4.971,-3.3,2.97118E-11,3.84134E-10
NPC1L1,4.969,4.969,-2.873,1.3607E-16,3.89158E-15
TPH1,4.965,4.965,-0.082,2.12048E-27,2.26561E-25
RSPH10B2,4.964,4.964,-0.402,3.94622E-24,2.81088E-22
FAM166A,4.959,4.959,1.96,1.41083E-48,1.27827E-45
LTA,4.959,4.959,-3.314,1.20265E-09,1.17672E-08
SNORD115-37,4.958,4.958,-3.274,1.01275E-11,1.40689E-10
LOC101927237,4.956,4.956,-2.176,2.41393E-15,5.70751E-14
SMTNL1,4.949,4.949,-1.395,1.40515E-23,9.22554E-22
COMP,4.948,4.948,-1.669,3.22143E-19,1.31239E-17
HK3,4.948,4.948,-1.519,2.14162E-18,7.6756E-17
HIGD1C,4.942,4.942,-3.198,3.83562E-11,4.8782E-10
FPR2,4.94,4.94,-3.041,3.97395E-15,9.13847E-14
WNT8B,4.939,4.939,-2.527,2.6637E-19,1.09701E-17
LOC101928696,4.938,4.938,-2.966,9.04924E-15,1.98426E-13
FAM46C,4.935,4.935,0.975,7.43231E-32,1.43888E-29
CYP21A2,4.931,4.931,-2.718,9.45255E-13,1.53154E-11
HAMP,4.928,4.928,0.484,2.77911E-37,8.39327E-35
VWF,4.928,4.928,1.154,9.55093E-27,9.44708E-25
