GENE_SYMBOL,Log_FoldChange,adjLogFoldChange,logCPM,PValue,FDR_adjusted_P.value
BATF2,4.784,4.784,2.955,9.25629E-54,1.86935E-50
AOC4P,4.746,4.746,-2.907,7.50423E-11,4.63816E-09
COL11A2,4.644,4.644,-2.686,1.02549E-15,1.11673E-13
HLA-DOA,4.609,4.609,-3.411,3.91858E-10,2.20383E-08
LINC01662,4.588,4.588,-2.759,1.74646E-15,1.8475E-13
FAM230B,4.583,4.583,-2.643,1.22324E-12,9.50146E-11
FAM71A,4.581,4.581,-3.034,6.90624E-11,4.28554E-09
DCLK3,4.575,4.575,-1.95,5.18218E-13,4.14108E-11
KRT82,4.536,4.536,-3.027,4.55057E-17,5.77663E-15
MEP1B,4.519,4.519,-3.04,1.16405E-13,9.90785E-12
KRT38,4.469,4.469,-2.882,4.47361E-14,4.00731E-12
MPO,4.463,4.463,-3.252,1.47634E-09,7.55687E-08
IFIT1B,4.456,4.456,-2.056,2.11371E-15,2.18401E-13
CXCL9,4.423,4.423,-1.563,5.11837E-26,1.5576E-23
IFI6,4.399,4.399,6.64,5.00623E-35,2.60325E-32
TNN,4.356,4.356,-2.57,1.04016E-11,7.10986E-10
TCF23,4.344,4.344,0.276,1.56729E-21,3.19425E-19
GCG,4.34,4.34,-3.287,1.80375E-15,1.89011E-13
OAS2,4.315,4.315,6.845,1.15645E-45,1.35213E-42
NR2E1,4.314,4.314,-2.618,3.90338E-16,4.37947E-14
SCN4A,4.314,4.314,-2.474,4.9986E-09,2.32796E-07
C12orf74,4.269,4.269,-3.292,7.51627E-11,4.63816E-09
ZNF534,4.267,4.267,-2.853,5.07323E-16,5.66341E-14
DDX58,4.247,4.247,6.636,9.52053E-49,1.40999E-45
IFI44,4.236,4.236,4.948,7.65171E-43,7.08261E-40
TPSB2,4.235,4.235,-1.692,3.54014E-22,7.48993E-20
LMAN1L,4.222,4.222,-3.444,9.86875E-13,7.74679E-11
NTSR2,4.18,4.18,-2.989,2.01574E-07,7.02979E-06
HCN1,4.176,4.176,-0.486,7.76767E-13,6.11911E-11
LOC102724555,4.15,4.15,-3.147,7.16919E-13,5.69441E-11
BEND4,4.139,4.139,-2.831,1.06825E-14,9.97107E-13
FGR,4.103,4.103,-0.503,1.2993E-20,2.4461E-18
FCAMR,4.103,4.103,-3.338,1.46292E-11,9.81833E-10
CFAP73,4.088,4.088,-0.905,1.26575E-17,1.71455E-15
LRP2,4.075,4.075,-0.261,1.00231E-12,7.81277E-11
XAF1,4.07,4.07,3.633,2.98789E-38,1.95223E-35
ETV7,4.066,4.066,2.292,1.13582E-34,5.60716E-32
LCN10,4.066,4.066,-3.446,2.39952E-09,1.17211E-07
KLKP1,4.015,4.015,-1.972,9.12427E-11,5.55331E-09
PI16,4.008,4.008,-3.27,1.78871E-10,1.04294E-08
SLC15A3,3.991,3.991,1.798,1.06162E-33,4.71679E-31
IFI35,3.983,3.983,5.129,1.37951E-40,1.09449E-37
HLA-DQB2,3.966,3.966,-3.635,1.12052E-07,4.14871E-06
EFCAB8,3.923,3.923,-1.022,4.59893E-12,3.33873E-10
HEATR9,3.916,3.916,-2.22,3.83372E-15,3.76841E-13
TDH,3.91,3.91,-2.709,3.79555E-11,2.43694E-09
AIM2,3.907,3.907,-1.249,2.52673E-15,2.57483E-13
MRC1,3.9,3.9,-1.726,3.67581E-13,2.96938E-11
TNFSF13B,3.889,3.889,0.248,2.03178E-16,2.35083E-14
TULP2,3.884,3.884,-0.775,7.63723E-14,6.67957E-12
IDO1,3.876,3.876,-1.02,3.15162E-17,4.04701E-15
BRWD1-AS1,3.869,3.869,-1.32,5.52877E-14,4.93259E-12
TMEM72,3.858,3.858,-3.416,5.21778E-09,2.42022E-07
PLEKHG7,3.852,3.852,-2.223,3.28182E-14,2.98793E-12
THEMIS,3.847,3.847,-3.037,7.96566E-14,6.91239E-12
USP18,3.845,3.845,5.426,5.75817E-47,7.10655E-44
PRPH,3.841,3.841,-2.598,3.44784E-15,3.40417E-13
SMTNL1,3.834,3.834,-1.577,4.66509E-17,5.88835E-15
DDX60,3.828,3.828,5.886,5.03893E-35,2.60325E-32
LINC01285,3.82,3.82,-1.486,6.79573E-19,1.06315E-16
ADGRG3,3.82,3.82,-3.142,1.25581E-11,8.50541E-10
ASB15,3.815,3.815,-2.824,5.73327E-09,2.62607E-07
EPSTI1,3.813,3.813,4.882,9.12485E-37,5.33444E-34
RHBDL3,3.805,3.805,-2.81,1.78201E-09,8.89606E-08
BCL2L14,3.801,3.801,-1.47,1.59754E-20,2.95745E-18
ASB5,3.794,3.794,-2.749,4.4116E-07,1.437E-05
CD80,3.782,3.782,-2.633,8.63852E-15,8.16616E-13
IFIH1,3.77,3.77,5.022,1.20225E-43,1.214E-40
LINC01587,3.769,3.769,-1.919,3.45651E-12,2.57672E-10
SAMD9L,3.767,3.767,3.725,3.7212E-34,1.7971E-31
LDHC,3.753,3.753,-1.021,9.24152E-21,1.76983E-18
LOC101927914,3.747,3.747,-3.432,3.34913E-10,1.89798E-08
FLT3,3.725,3.725,-3.363,8.41186E-08,3.1889E-06
MYO18B,3.723,3.723,-3.342,3.05656E-08,1.2459E-06
IFITM1,3.71,3.71,6.578,2.23847E-32,9.38255E-30
CH25H,3.694,3.694,-1.647,8.20263E-19,1.27428E-16
LOC101927131,3.688,3.688,-0.849,1.11047E-16,1.34072E-14
PATL2,3.687,3.687,-2.399,3.00006E-15,3.01567E-13
IFI27,3.684,3.684,6.245,2.90445E-25,7.68124E-23
DDX60L,3.682,3.682,5.481,2.00037E-41,1.70917E-38
LOC102725072,3.601,3.601,-1.56,7.25821E-12,5.07048E-10
CPN1,3.589,3.589,-3.274,1.09008E-06,3.29919E-05
CACNA1I,3.568,3.568,-1.654,5.71116E-08,2.21807E-06
SLC17A8,3.55,3.55,-2.554,2.05334E-08,8.75528E-07
LOC100128239,3.547,3.547,-1.384,3.10038E-13,2.53216E-11
PLSCR2,3.537,3.537,-1.173,5.14927E-20,9.15128E-18
TRPC2,3.526,3.526,-3.62,3.42435E-08,1.38062E-06
RASGRP3,3.523,3.523,0.719,5.69903E-21,1.12039E-18
TDRD7,3.52,3.52,4.555,6.56631E-35,3.31524E-32
NT5DC4,3.503,3.503,-1.374,1.03828E-22,2.2837E-20
TKTL1,3.497,3.497,-3.519,1.68192E-07,5.99739E-06
HNF1A,3.492,3.492,-2.737,1.1133E-09,5.75162E-08
VTRNA1-3,3.483,3.483,2.591,3.61448E-26,1.11522E-23
LOC101928696,3.475,3.475,-3.223,1.98664E-10,1.15532E-08
ARHGAP9,3.473,3.473,-1.866,4.03183E-09,1.90975E-07
FAM71F1,3.473,3.473,-2.808,5.88382E-09,2.68949E-07
HCP5,3.47,3.47,1.457,6.69473E-10,3.60979E-08
TCTE1,3.469,3.469,-2.777,6.79364E-14,5.98891E-12
KRT36,3.458,3.458,-3,8.84284E-11,5.41167E-09
HCG27,3.457,3.457,-3.53,3.95909E-10,2.22099E-08
ARHGEF26-AS1,3.434,3.434,-2.12,5.04104E-10,2.77883E-08
NLRC5,3.413,3.413,3.458,1.5776E-36,8.76161E-34
LOC100129291,3.409,3.409,-3.039,6.82754E-08,2.62866E-06
RFTN2,3.404,3.404,-0.065,2.54932E-19,4.10385E-17
KLHDC7B,3.402,3.402,-2.54,1.90008E-06,5.44648E-05
ZP2,3.392,3.392,-3.196,3.71951E-09,1.78079E-07
CHRD,3.388,3.388,-1.921,1.8193E-12,1.37469E-10
HERC6,3.378,3.378,5.049,6.43896E-34,2.91922E-31
CD53,3.376,3.376,-2.9,2.75551E-08,1.1335E-06
HSPA6,3.358,3.358,3.169,5.63154E-40,4.17015E-37
SLC25A47,3.346,3.346,-3.091,5.68378E-11,3.56681E-09
CALCB,3.342,3.342,-2.175,2.14732E-13,1.78662E-11
SLC26A10,3.339,3.339,-3.465,5.43226E-07,1.74138E-05
SAMHD1,3.336,3.336,6.09,4.1642E-31,1.65192E-28
NCR3,3.328,3.328,-3.732,1.31093E-06,3.88305E-05
DDO,3.325,3.325,-2.334,2.50872E-11,1.65375E-09
BISPR,3.324,3.324,1.326,1.53267E-29,5.54139E-27
C9orf152,3.32,3.32,-2.5,2.86602E-14,2.63094E-12
PSMB8,3.312,3.312,2.979,3.11356E-14,2.8464E-12
ATP6V0A4,3.306,3.306,-1.078,9.95709E-18,1.36541E-15
RTBDN,3.306,3.306,-2.299,4.62182E-12,3.34442E-10
OAS3,3.296,3.296,6.545,2.40399E-45,2.67023E-42
OIT3,3.291,3.291,-2.414,1.08578E-08,4.85323E-07
PPBPP2,3.286,3.286,-3.209,2.1952E-06,6.17295E-05
ASMT,3.277,3.277,-2.766,6.91588E-10,3.70018E-08
JAML,3.275,3.275,-2.81,3.71833E-07,1.23657E-05
CYP2J2,3.274,3.274,1.139,2.09785E-24,5.01115E-22
C20orf173,3.274,3.274,-3.455,3.39745E-07,1.1401E-05
IRF7,3.268,3.268,5.174,2.57189E-40,1.97015E-37
APOL3,3.265,3.265,0.785,4.20761E-22,8.81811E-20
GOLGA8G,3.256,3.256,-3.17,2.57313E-06,7.13635E-05
ZAN,3.251,3.251,-3.151,5.12821E-10,2.81988E-08
LOC105376731,3.241,3.241,-3.275,1.43597E-09,7.3672E-08
FAM216B,3.241,3.241,-3.58,6.74223E-08,2.60032E-06
ACTC1,3.237,3.237,-3.303,2.26926E-06,6.36511E-05
ZBP1,3.226,3.226,1.011,6.00924E-18,8.39592E-16
STAT1,3.206,3.206,7.8,3.33559E-36,1.80732E-33
AKAP14,3.203,3.203,-3.489,5.51939E-06,0.000139333
FREM3,3.199,3.199,-2.695,5.44806E-06,0.000137846
HLA-F,3.187,3.187,3.252,5.17759E-27,1.69147E-24
GOLGA6A,3.183,3.183,-2.806,8.50835E-07,2.63985E-05
P2RY14,3.18,3.18,-3.671,7.46795E-08,2.85053E-06
TEX43,3.177,3.177,-3.386,2.09124E-07,7.2589E-06
EGOT,3.154,3.154,-0.953,5.38729E-20,9.49831E-18
LINC00677,3.15,3.15,-3.613,2.85403E-07,9.7392E-06
LOC105373098,3.148,3.148,1.588,1.44494E-19,2.39548E-17
PKD1L3,3.12,3.12,-1.295,1.96195E-14,1.8136E-12
ACTN2,3.119,3.119,-2.28,4.75049E-05,0.000936398
SUSD3,3.118,3.118,-1.228,2.43059E-15,2.48827E-13
KIAA0319,3.113,3.113,-1.684,5.04163E-13,4.04332E-11
LRRC31,3.11,3.11,-3.672,4.71393E-07,1.52876E-05
HSPA1B,3.098,3.098,0.41,0.000999369,0.012628547
PARP9,3.083,3.083,6.067,4.54195E-33,1.97842E-30
TRIM22,3.072,3.072,6.491,1.54655E-29,5.54139E-27
PNLDC1,3.068,3.068,-1.599,3.22045E-11,2.09188E-09
TBC1D26,3.062,3.062,-3.527,1.04658E-06,3.17619E-05
C1R,3.059,3.059,4.122,9.62558E-20,1.64486E-17
ANGPTL6,3.057,3.057,-1.714,1.50333E-16,1.76701E-14
SECTM1,3.056,3.056,2.805,4.80891E-20,8.61531E-18
SLCO2B1,3.032,3.032,-0.922,1.21439E-13,1.02968E-11
LOC105378328,3.032,3.032,-3.64,1.13077E-06,3.3946E-05
LRFN5,-3.028,3.028,-1.823,0.031091042,0.16945228
LINC01877,3.026,3.026,-3.196,3.53521E-08,1.42016E-06
DNAI2,3.024,3.024,-3.319,1.55265E-05,0.000348405
KRT39,3.02,3.02,-3.194,2.36096E-08,9.90975E-07
TNF,-3.015,3.015,-2.852,0.01021085,0.07722347
MSH4,3.014,3.014,-0.7,3.77397E-18,5.44407E-16
LMO2,3.013,3.013,0.537,4.37587E-25,1.13035E-22
WNT16,3.012,3.012,-2.92,7.87284E-10,4.16417E-08
CCL5,3.004,3.004,0.273,1.33306E-29,4.93567E-27
ITIH2,3.002,3.002,-1.95,5.8475E-12,4.15023E-10
CATSPER4,2.998,2.998,-3.239,7.31838E-08,2.80791E-06
IL10RA,2.996,2.996,-2.778,1.64311E-08,7.17124E-07
DRC1,2.994,2.994,-2.542,9.41803E-11,5.70086E-09
ASTL,2.991,2.991,-3.658,2.55941E-06,7.10717E-05
SVOPL,2.983,2.983,-2.134,8.65694E-07,2.6822E-05
FAM189A1,2.981,2.981,-3.585,5.86687E-05,0.001125565
PGC,2.979,2.979,-3.263,5.01111E-06,0.000127516
ADAMTS12,2.978,2.978,-2.632,8.21902E-06,0.000198032
VWA3A,2.974,2.974,-1.857,2.82934E-06,7.75016E-05
FNDC7,2.973,2.973,-1.984,1.28168E-12,9.92077E-11
IQSEC3,2.972,2.972,-3.062,1.45675E-06,4.28064E-05
MAP3K19,2.971,2.971,-2.735,4.82561E-09,2.26641E-07
CACNA1S,2.959,2.959,-3.413,1.14361E-06,3.42853E-05
APOL5,2.957,2.957,-3.722,1.4852E-05,0.000334621
TTBK1,2.955,2.955,-2.803,9.1943E-06,0.000219154
PDILT,2.952,2.952,-3.033,4.8649E-10,2.6884E-08
PARP14,2.938,2.938,6.612,8.61643E-27,2.77412E-24
LINC02076,2.938,2.938,-0.988,1.53953E-16,1.80004E-14
RAB19,2.937,2.937,-1.826,3.36211E-17,4.29249E-15
RUNX1T1,2.931,2.931,-1.868,6.95326E-08,2.67243E-06
LINC00309,2.929,2.929,-3.117,3.04905E-08,1.24512E-06
KNG1,2.928,2.928,-3.719,1.4199E-05,0.000320885
PSMB8-AS1,2.926,2.926,-1.563,2.52221E-18,3.71419E-16
COL9A3,2.926,2.926,-1.977,6.43134E-12,4.55007E-10
PCK1,2.923,2.923,-2.718,3.08212E-08,1.25401E-06
XIRP1,2.921,2.921,-3.434,3.32738E-05,0.000691366
SPACA4,2.918,2.918,-2.632,1.48602E-09,7.58895E-08
CD34,2.917,2.917,-1.77,1.10532E-09,5.72368E-08
UBE2L6,2.916,2.916,6.504,1.94864E-25,5.27916E-23
NPC1L1,2.911,2.911,-3.36,8.0979E-07,2.52332E-05
IL13,2.906,2.906,-3.752,1.66217E-06,4.80794E-05
LOC643733,2.904,2.904,-1.886,2.10965E-08,8.95995E-07
PSMB9,2.902,2.902,2.913,7.11439E-25,1.79598E-22
CATSPERD,2.902,2.902,-1.94,7.75981E-12,5.37022E-10
CDHR4,2.892,2.892,-2.824,2.03395E-07,7.07107E-06
ITIH3,2.888,2.888,-3.251,8.77226E-06,0.000209995
HLA-B,2.888,2.888,-3.437,1.96492E-05,0.000432184
FPR2,2.887,2.887,-3.522,1.44342E-06,4.25272E-05
TRANK1,2.878,2.878,3.95,5.85373E-20,1.01594E-17
KRT84,2.874,2.874,-2.85,1.34551E-10,8.03509E-09
MLC1,2.873,2.873,-2.669,0.000332701,0.005000637
KCNK4,2.871,2.871,-3.269,8.48568E-09,3.80827E-07
RSPH6A,2.87,2.87,-3.075,3.50844E-08,1.41196E-06
C5orf56,2.865,2.865,1.442,5.41604E-25,1.38296E-22
COL26A1,2.864,2.864,-3.423,6.72697E-05,0.001271827
TLDC2,2.86,2.86,-1.023,2.76587E-16,3.15097E-14
MYOZ2,2.86,2.86,-3.501,3.61613E-06,9.60914E-05
NKAIN2,-2.853,2.853,-1.494,0.00554455,0.049142574
PARP15,2.85,2.85,0.356,7.82915E-16,8.61013E-14
LOC102724153,2.85,2.85,-3.683,7.21331E-05,0.001343026
MOG,2.839,2.839,-3.839,0.000121095,0.002103298
IAPP,2.838,2.838,-3.478,2.37404E-05,0.000509066
STOML3,2.835,2.835,-3.323,3.84239E-06,0.000101256
ACAN,2.828,2.828,-2.351,2.08725E-08,8.88281E-07
GBP1,2.825,2.825,5.409,1.63465E-41,1.45255E-38
TDRD10,2.822,2.822,-3.27,1.87737E-05,0.00041581
APOBEC3A,2.821,2.821,-3.441,3.06589E-06,8.30593E-05
CHRNA4,2.821,2.821,-3.584,5.39725E-05,0.001050831
LOC101926933,2.819,2.819,1.231,9.2529E-22,1.92106E-19
ACE,2.814,2.814,-3.4,1.79303E-07,6.33043E-06
LGR5,2.807,2.807,-2.112,1.25532E-10,7.51669E-09
DHX58,2.804,2.804,4.314,3.43926E-31,1.38915E-28
LINC01225,2.803,2.803,-3.514,1.40978E-05,0.000318924
GALNTL5,2.798,2.798,-3.532,3.64729E-05,0.00074471
WFIKKN2,2.796,2.796,-3.541,2.97777E-06,8.10675E-05
HSF5,2.788,2.788,-3.082,4.92209E-08,1.93722E-06
NEURL3,2.783,2.783,-0.373,1.42854E-21,2.93843E-19
LINC01018,2.783,2.783,-3.43,1.15452E-06,3.45656E-05
HORMAD2,2.78,2.78,-3.519,4.31971E-05,0.000859108
LOC101928924,2.778,2.778,-3.819,5.04266E-05,0.000986128
AMY2A,2.775,2.775,-3.523,1.18114E-05,0.000272471
PLSCR1,2.765,2.765,5.899,1.86688E-37,1.15202E-34
FTCD,2.758,2.758,-3.309,4.09864E-05,0.000821762
PADI6,2.756,2.756,-3.831,6.94372E-05,0.001299915
HELZ2,2.752,2.752,6.386,2.94284E-37,1.7669E-34
BTC,2.747,2.747,0.357,3.06714E-15,3.06921E-13
CAPN9,2.747,2.747,-3.111,1.68232E-06,4.85359E-05
TRIM69,2.744,2.744,4.403,9.91149E-26,2.85953E-23
CCDC83,2.733,2.733,-2.796,8.52288E-09,3.81725E-07
ANO5,2.731,2.731,-3.157,2.48172E-05,0.000530109
SELL,2.723,2.723,-2.537,6.75234E-07,2.14597E-05
LOC653786,2.722,2.722,0.373,9.99887E-13,7.81277E-11
ATP10A,2.719,2.719,2.354,3.22509E-24,7.54163E-22
MTRNR2L10,-2.714,2.714,-0.862,0.032775411,0.175658808
ZG16,2.705,2.705,-1.92,2.71428E-10,1.55007E-08
NKAIN3,2.701,2.701,-3.674,0.000139611,0.002367532
LUCAT1,2.698,2.698,-0.651,1.86764E-12,1.40643E-10
C3AR1,2.696,2.696,-0.522,1.78247E-15,1.87666E-13
NMI,2.69,2.69,3.14,2.34698E-22,5.06195E-20
VHLL,2.69,2.69,-3.132,4.32803E-07,1.41393E-05
IFITM5,2.689,2.689,-3.623,1.11059E-05,0.000258073
FAM177B,2.685,2.685,-3.436,1.03275E-05,0.000241755
UNC5A,2.682,2.682,-3.4,0.000971147,0.012332943
NXPE1,2.676,2.676,-3.412,8.4942E-07,2.63914E-05
POM121L2,2.674,2.674,-3.257,0.00094031,0.012081536
HEPH,2.671,2.671,-2.686,5.62164E-05,0.001085011
C1S,2.669,2.669,2.841,6.94838E-18,9.64739E-16
RBM11,2.667,2.667,-1.366,2.23528E-13,1.85286E-11
RNF112,2.667,2.667,-2.824,2.18951E-05,0.000474536
SP110,2.664,2.664,4.516,3.2545E-31,1.33887E-28
CYP21A2,2.662,2.662,-3.203,1.96059E-05,0.00043166
NPHS1,2.661,2.661,-2.79,4.00359E-05,0.00080617
MIR6087,-2.66,2.66,-2.99,0.007200049,0.059771707
MAST1,2.657,2.657,-0.594,1.65257E-14,1.53606E-12
AMY1C,2.652,2.652,-3.479,5.73696E-05,0.001106307
GPR84,2.646,2.646,-3.373,2.82294E-05,0.000595553
ACE2,2.64,2.64,0.942,3.94038E-15,3.85619E-13
GIF,2.64,2.64,-3.361,6.8239E-06,0.000166953
DPEP1,2.637,2.637,-3.26,0.000129988,0.002237146
LINC01660,2.629,2.629,-3.089,0.000252436,0.003954773
KCNH7,2.625,2.625,-2.291,3.75313E-06,9.93335E-05
SAG,2.624,2.624,-0.917,1.53205E-17,2.05026E-15
RAPGEF6,-2.623,2.623,-0.876,0.026028168,0.149355513
BARX1,2.62,2.62,-3.134,2.09593E-06,5.92826E-05
CNNM1,2.618,2.618,-1.33,1.03393E-09,5.37908E-08
METTL7B,2.613,2.613,-3.723,0.000130009,0.002237146
LOC101929439,2.612,2.612,-3.623,0.000103222,0.00182861
APOC4,2.604,2.604,-2.8,3.08853E-08,1.25433E-06
LHFPL4,2.6,2.6,-2.552,3.04616E-05,0.0006384
ITGAM,2.598,2.598,-1.667,6.41288E-06,0.000157765
ZDHHC19,2.598,2.598,-3.536,6.08843E-05,0.001162979
HRASLS2,2.59,2.59,-1.801,6.61185E-10,3.58249E-08
VTRNA1-1,2.582,2.582,-2.147,2.69073E-09,1.30512E-07
LOC283214,2.58,2.58,-3.645,4.54273E-06,0.000118031
FXYD4,2.578,2.578,-3.584,3.11753E-06,8.42529E-05
LOC440910,2.577,2.577,-3.293,1.01886E-06,3.0963E-05
LINC00284,2.571,2.571,-3.477,0.001391241,0.01644138
APOBEC3B,2.57,2.57,0.35,3.06775E-18,4.45425E-16
TMCO2,2.569,2.569,-3.344,0.000222385,0.003552088
LTK,2.562,2.562,-3.162,5.27278E-06,0.000133868
TAGAP,2.555,2.555,-0.501,1.19027E-15,1.27124E-13
CNTN5,2.555,2.555,-3.619,0.000142956,0.002420559
PRLR,2.548,2.548,-2.443,0.003984136,0.037839925
PLCE1-AS2,2.542,2.542,-3.753,0.000234014,0.003710644
SNX31,2.538,2.538,-2.358,6.18591E-05,0.001178558
MAFA,2.533,2.533,-3.132,3.55248E-05,0.000729375
SAMD9,2.53,2.53,5.739,9.10772E-23,2.02328E-20
INHBC,2.521,2.521,-3.687,0.000411565,0.005991431
ARX,-2.521,2.521,-1.859,0.026946027,0.152985005
IL23R,2.518,2.518,-3.192,1.11382E-06,3.35451E-05
LYPD8,2.516,2.516,-3.669,0.000145438,0.002456963
TAP1,2.515,2.515,-2.008,4.69919E-08,1.85752E-06
CD244,2.513,2.513,-3.794,0.000945044,0.012093411
LCT,2.511,2.511,-2.001,1.09934E-09,5.70606E-08
PDE7B,2.511,2.511,-2.061,2.7671E-06,7.62668E-05
CASP5,2.507,2.507,-3.427,1.97059E-05,0.000433003
LINC01977,2.505,2.505,-3.05,1.66999E-05,0.000372853
HCG14,2.498,2.498,-3.987,0.002299798,0.024753645
WDR87,2.496,2.496,-1.99,0.001127771,0.013926305
EBF2,2.493,2.493,-3.744,0.000128487,0.00221954
LINC01498,2.49,2.49,-2.4,2.38875E-08,9.97481E-07
NR1I2,2.485,2.485,-3.254,0.000115901,0.00203216
PKD1L1,2.484,2.484,-1.378,1.9425E-09,9.61083E-08
LOC440896,2.484,2.484,-2.263,9.84118E-07,3.02381E-05
CD69,2.482,2.482,-3.349,1.03202E-05,0.000241755
LOC100130370,2.482,2.482,-3.749,0.000483741,0.006884244
HK3,2.476,2.476,-2.513,4.73146E-06,0.000121654
KCNB1,2.473,2.473,1.05,1.996E-18,3.0164E-16
LOC102724612,2.473,2.473,-3.489,8.45554E-05,0.001544735
ALDH8A1,2.472,2.472,-0.651,3.01405E-13,2.47074E-11
C8orf4,2.468,2.468,-3.183,4.61365E-06,0.000119594
TBX4,2.467,2.467,-3.261,8.15467E-05,0.001495921
APOL6,2.466,2.466,5.394,2.46799E-24,5.8326E-22
GPR179,-2.459,2.459,-1.742,0.014459964,0.09886984
STON1-GTF2A1L,2.456,2.456,-2.917,0.006009232,0.052371556
LOC101929532,2.455,2.455,-2.028,3.04993E-09,1.47292E-07
LINC00528,2.454,2.454,-3.322,1.14104E-05,0.000264594
LOC105372233,2.449,2.449,0.107,1.40153E-19,2.34097E-17
CGB2,2.449,2.449,-3.359,3.0439E-06,8.26654E-05
PPEF2,2.449,2.449,0.913,1.18277E-05,0.000272564
HRH3,2.447,2.447,-3.451,0.000202294,0.003287469
CYP7A1,2.447,2.447,-3.715,0.00041724,0.006052404
LRRC15,2.441,2.441,-3.481,0.000128936,0.002225572
SYNPR,2.438,2.438,-3.627,9.09018E-05,0.00164579
B3GNT7,2.435,2.435,2.183,4.29156E-21,8.51222E-19
TLR3,2.433,2.433,2.734,1.37927E-16,1.62982E-14
AGPAT1,2.43,2.43,-2.21,0.003677313,0.035518047
COL20A1,2.429,2.429,-2.603,1.61198E-05,0.000360988
HLA-DRA,2.429,2.429,-3.719,0.0029187,0.029688151
LINC01686,2.427,2.427,-3.032,6.88311E-07,2.18129E-05
FCER1G,2.413,2.413,-1.105,6.57476E-11,4.10276E-09
ATP9B,2.412,2.412,-3.585,0.000207844,0.003352482
KLHL10,2.409,2.409,-2.415,1.60352E-09,8.10893E-08
LINC01620,2.409,2.409,-3.644,0.000564115,0.007842188
CPXM2,2.408,2.408,-2.67,1.84383E-07,6.48111E-06
BTN1A1,2.407,2.407,-3.476,0.000252656,0.003955429
AGT,2.402,2.402,-3.372,0.006099339,0.052949129
SLC5A11,2.4,2.4,-1.934,1.53674E-06,4.48015E-05
LOC101928144,2.398,2.398,-2.68,1.2095E-08,5.36309E-07
FAM163A,2.385,2.385,-2.765,4.86056E-09,2.278E-07
IFIT5,2.383,2.383,4.738,5.32937E-31,2.07705E-28
PYGM,2.381,2.381,-1.013,1.21291E-08,5.36747E-07
SLC22A11,2.381,2.381,-2.306,4.29604E-08,1.70727E-06
MUC4,2.38,2.38,-3.797,0.00139617,0.016480292
ACSM4,2.377,2.377,-3.423,0.000120821,0.002101835
TLR9,2.377,2.377,-3.404,0.000704567,0.009445958
TM4SF18,2.368,2.368,-3.334,6.14724E-05,0.001172197
