GENE_SYMBOL,adj.P.Val,P.Value,t,B,logFC,abs_logFC
KRTAP22-1,0.022015868,0.008420052,3.18566529,-3.179408633,0.280050023,0.280050023
YRDC,0.001356355,0.000223679,5.323167582,0.526024926,0.280006532,0.280006532
PKP1,0.01999979,0.007498383,3.250029109,-3.06340114,0.279985042,0.279985042
CYP4F30P,0.012486939,0.004211465,3.572362412,-2.482634061,0.279959066,0.279959066
C20orf173,0.085611689,0.043020331,2.2794725,-4.774532153,0.279936334,0.279936334
SOLH,0.004756876,0.001232464,4.277525828,-1.231001295,0.279905886,0.279905886
IMMT,0.005527308,0.001503859,-4.161103842,-1.434753006,-0.279884637,0.279884637
RECQL,0.011439557,0.003760335,3.636186358,-2.367964187,0.279824939,0.279824939
FOSL2,0.02276061,0.008758903,3.163782654,-3.21883016,0.279812575,0.279812575
C3orf33,0.0050733,0.001344327,4.22658357,-1.319985695,0.279751291,0.279751291
ZNF268,0.023084964,0.00891901,-3.15373949,-3.236918688,-0.279733466,0.279733466
SMYD1,0.306356352,0.204037083,-1.348216977,-6.170767657,-0.279732273,0.279732273
MICU1,0.002867242,0.000626093,-4.681622848,-0.535466833,-0.279710648,0.279710648
HSBP1L1,0.002223754,0.000444473,-4.891218213,-0.18260583,-0.279701574,0.279701574
MRPL45,0.010040015,0.003198495,-3.727702313,-2.20388353,-0.279686577,0.279686577
FAM159A,0.027041309,0.010808758,3.047306605,-3.428393727,0.279612083,0.279612083
NUDT16,0.003142909,0.0007112,4.604578406,-0.666579175,0.279590158,0.279590158
TGFBR3,0.564695637,0.449612033,0.783250536,-6.75840506,0.279575682,0.279575682
ATAD3A,0.006907951,0.002006781,3.994002582,-1.729486569,0.279544536,0.279544536
SRSF11,0.00316257,0.000717006,-4.599679264,-0.674941244,-0.279527294,0.279527294
FAM182A,0.153143138,0.086903918,1.874996644,-5.428721516,0.279498033,0.279498033
APOE,0.129331852,0.070663162,-1.995876178,-5.239310888,-0.279493956,0.279493956
UTRN,0.008626948,0.002652015,3.834230602,-2.013504067,0.279364196,0.279364196
LOC284373,0.00930591,0.002914839,3.78042299,-2.109574399,0.279292044,0.279292044
RAB8B,0.018939814,0.007022768,-3.286460896,-2.997714073,-0.279270088,0.279270088
SSPN,0.002232884,0.000447205,-4.88743645,-0.188921812,-0.279262792,0.279262792
KRT34,0.002755486,0.000594181,-4.713389085,-0.481624183,-0.279141512,0.279141512
TECR,0.005610509,0.001532216,4.150225735,-1.453860436,0.279134993,0.279134993
COQ6,0.003934618,0.000961614,-4.424111945,-0.976508247,-0.279128294,0.279128294
DDA1,0.110239229,0.058328817,-2.106422497,-5.061247138,-0.279086664,0.279086664
KIFAP3,0.002008372,0.000387302,-4.976517493,-0.040652255,-0.279071152,0.279071152
LOC145216,0.015631924,0.005549752,3.417687156,-2.761117693,0.279068211,0.279068211
TP53BP1,0.011665286,0.003856753,-3.621907526,-2.393602902,-0.279065888,0.279065888
C7orf25,0.006960883,0.002024402,-3.988968065,-1.738405097,-0.279017146,0.279017146
RBBP5,0.002992182,0.000664686,-4.645404521,-0.597010385,-0.278993511,0.278993511
LOC255512,0.003690502,0.000880045,-4.476872982,-0.885499729,-0.278976999,0.278976999
AP2M1,0.007609444,0.002265251,3.92437519,-1.853015314,0.278968738,0.278968738
BTBD3,0.014149114,0.004913031,-3.485869911,-2.638277116,-0.278882122,0.278882122
C9orf46,0.000604876,0.0000679,-6.116173545,1.758526723,-0.278838244,0.278838244
ZNF727,0.005570762,0.001518423,-4.155490554,-1.444611324,-0.278820036,0.278820036
CXorf58,0.001195154,0.000185712,-5.443125364,0.718218542,-0.278805618,0.278805618
CCDC111,0.008847545,0.002735643,-3.816533345,-2.045080045,-0.278775838,0.278775838
COL5A1,0.446777978,0.330053026,1.017916471,-6.545581613,0.27864731,0.27864731
LPAR3,0.019733205,0.0073834,-3.258616966,-3.047918111,-0.278594021,0.278594021
ZDHHC8P1,0.031319543,0.012898766,2.949528153,-3.603799771,0.278442021,0.278442021
EIF1,0.006175176,0.001734066,4.078367741,-1.580363494,0.278440334,0.278440334
PTTG1,0.020833442,0.007869543,-3.223193003,-3.111778115,-0.27842303,0.27842303
IPP,0.001453345,0.000247044,-5.25962941,0.42340472,-0.278411112,0.278411112
KIAA1324,0.102509482,0.053442984,2.15642058,-4.97934453,0.278395054,0.278395054
EMB,0.019960891,0.007480289,-3.251371572,-3.060980867,-0.278386792,0.278386792
ZFAND3,0.007259162,0.002135611,3.958205629,-1.792945989,0.2783811,0.2783811
C10orf58,0.021983466,0.008404439,3.186694925,-3.177553464,0.278304872,0.278304872
ICAM3,0.001160122,0.000177722,-5.471677487,0.763664087,-0.278302967,0.278302967
COX4NB,0.002069925,0.000402618,4.95242535,-0.080647354,0.278268316,0.278268316
TNFRSF8,0.293815117,0.193471835,-1.382849045,-6.126944262,-0.27824702,0.27824702
AGPAT9,0.016402456,0.005891561,3.384312637,-2.821277718,0.278231755,0.278231755
DLGAP1,0.469200889,0.352227197,-0.97033173,-6.592573449,-0.278216392,0.278216392
ZNF362,0.010577505,0.003415598,3.690510936,-2.270511111,0.278205534,0.278205534
NUP107,0.002219842,0.000442963,-4.893319277,-0.179097628,-0.278202736,0.278202736
SPHKAP,0.088323532,0.044680677,2.258080125,-4.810448706,0.278186024,0.278186024
N4BP2L2,0.028580288,0.011552041,-3.010510974,-3.494469401,-0.278141598,0.278141598
CASP5,0.00249983,0.000521033,-4.793532669,-0.34635533,-0.27807503,0.27807503
SLC22A5,0.00140965,0.000236188,5.288322601,0.469817055,0.278059966,0.278059966
ZBED5,0.001230046,0.00019402,-5.41478147,0.672990108,-0.278006576,0.278006576
MR1,0.002434482,0.000501644,-4.816768314,-0.30729242,-0.277995344,0.277995344
ARCN1,0.006570209,0.001874397,4.033361646,-1.659837762,0.277983354,0.277983354
TRIM78P,0.00762488,0.002271355,3.922832109,-1.855757374,0.277966285,0.277966285
SH2B3,0.011639759,0.003846949,3.623342602,-2.391025692,0.277938545,0.277938545
SH3PXD2B,0.011569791,0.003816028,3.627893446,-2.382853588,0.277922464,0.277922464
ART1,0.060084266,0.028023596,2.519640818,-4.363686549,0.277707082,0.277707082
PGK1,0.002616568,0.000554105,-4.75592227,-0.409732688,-0.277700334,0.277700334
CCT6A,0.000679838,0.0000813,-5.992207914,1.571782651,-0.277699268,0.277699268
AADAT,0.012878185,0.004374364,-3.551027827,-2.521001998,-0.27761033,0.27761033
CCDC86,0.002904347,0.000638025,4.670180105,-0.554893032,0.277542722,0.277542722
RBP7,0.01226618,0.00411796,-3.584994551,-2.459924777,-0.277522681,0.277522681
ZBTB49,0.00709896,0.002076623,3.974310003,-1.764383623,0.277431607,0.277431607
SNRPD1,0.000701784,0.0000852,-5.960968826,1.524377413,-0.277331046,0.277331046
MRPL27,0.001719798,0.000311973,-5.111811673,0.182487335,-0.277327192,0.277327192
ZNF71,0.001981511,0.000380602,4.987373761,-0.022655413,0.277317999,0.277317999
CDIPT,0.12471809,0.067624742,2.021323677,-5.198709427,0.277297914,0.277297914
LNX1,0.000706831,0.0000863,-5.951674513,1.51024639,-0.277236721,0.277236721
TMEM71,0.007391112,0.002183959,-3.945345998,-1.815768748,-0.27718908,0.27718908
FAM72A,0.013365274,0.004587594,-3.524300954,-2.569090322,-0.277162247,0.277162247
ZNRD1,0.001079048,0.000161381,-5.534565108,0.8633519,-0.27711703,0.27711703
MRPL24,0.00154705,0.000269817,-5.203541893,0.332348877,-0.277112266,0.277112266
DCTN5,0.005036643,0.001329135,-4.233236977,-1.308348439,-0.277090014,0.277090014
NUDT4,0.001739111,0.000317481,5.100805053,0.164427591,0.27694871,0.27694871
RNASE1,0.026777877,0.010684716,-3.053694378,-3.416915637,-0.276901503,0.276901503
ZMAT2,0.006832659,0.001978288,-4.002241509,-1.714896142,-0.276846514,0.276846514
PPWD1,0.001182385,0.000182686,-5.453780734,0.735191898,-0.27681763,0.27681763
NARS,0.002012303,0.000388403,-4.974751932,-0.043580593,-0.276808142,0.276808142
LOC100130938,0.190185821,0.1129345,-1.718825494,-5.664055973,-0.276786446,0.276786446
TMEM62,0.005635492,0.001541351,-4.146766097,-1.459939716,-0.276736384,0.276736384
STARD4,0.005051485,0.00133529,4.230531801,-1.313079426,0.276636671,0.276636671
UTP20,0.00726607,0.002138282,3.957487355,-1.7942204,0.276628897,0.276628897
OR5T3,0.218713242,0.134097808,1.614146963,-5.815112657,0.27659099,0.27659099
MXRA7,0.012933782,0.004400071,3.547735677,-2.526924064,0.276582875,0.276582875
SNX17,0.002101267,0.00041087,4.939843477,-0.101565335,0.276559936,0.276559936
CD1A,0.138465285,0.076858437,1.946998401,-5.316604432,0.276506539,0.276506539
FGFR2,0.024822043,0.009731853,3.105410092,-3.323919351,0.27647566,0.27647566
PLEKHG7,0.056911999,0.026247193,-2.556087064,-4.300284236,-0.276416282,0.276416282
DDB2,0.01630236,0.005849876,-3.388275492,-2.814133597,-0.276406152,0.276406152
CDK2,0.005844552,0.001614727,-4.119726594,-1.507493267,-0.276388386,0.276388386
C9orf62,0.033446627,0.013960024,2.905812851,-3.682011037,0.276362061,0.276362061
ZCCHC11,0.007409634,0.002191672,3.94332188,-1.819362288,0.27631887,0.27631887
NTRK2,0.004903388,0.001281775,4.254499189,-1.271190042,0.276267979,0.276267979
GPR25,0.00113758,0.000173302,5.488062862,0.789691924,0.276257012,0.276257012
SOX17,0.43379711,0.317667055,1.045525884,-6.517460174,0.276252611,0.276252611
RUNDC3B,0.001099905,0.000165725,-5.5172096,0.835896606,-0.276234556,0.276234556
TPRG1,0.011711603,0.003877557,-3.618874787,-2.399049614,-0.276206843,0.276206843
NAE1,0.003719592,0.00088938,-4.470581124,-0.896335724,-0.276150298,0.276150298
RAB12,0.008866781,0.00274237,3.815134103,-2.047577526,0.276113002,0.276113002
DERL2,0.001438573,0.000242931,-5.270340447,0.440743716,-0.276106164,0.276106164
UBL7,0.007974265,0.002404407,-3.890224128,-1.913744929,-0.276034547,0.276034547
SPHK2,0.114448241,0.061025424,2.080495915,-5.103393457,0.276031818,0.276031818
MRVI1,0.009186276,0.002867296,-3.789775351,-2.092862559,-0.276025017,0.276025017
KIR2DL4,0.01141077,0.0037492,3.637859486,-2.364960581,0.276011951,0.276011951
METAP1,0.007827073,0.002349705,-3.903398586,-1.890306666,-0.276010756,0.276010756
UBE2Q2P1,0.006014441,0.001675838,-4.098164779,-1.545463156,-0.275987471,0.275987471
OR8K5,0.170936803,0.099069916,-1.797378031,-5.547094069,-0.275944558,0.275944558
TMED4,0.002463169,0.000510505,-4.806034652,-0.325328735,-0.275926058,0.275926058
RAD9A,0.01047029,0.003369932,-3.698127564,-2.256859836,-0.275898652,0.275898652
ECSIT,0.012241485,0.004108952,3.586227031,-2.457709443,0.275845224,0.275845224
TRIM66,0.018014331,0.006597214,-3.321250849,-2.934981315,-0.275698465,0.275698465
ZNF573,0.00771132,0.00230682,-3.913950758,-1.871543186,-0.275663578,0.275663578
VMO1,0.293641146,0.19326263,-1.38355054,-6.126048426,-0.27559983,0.27559983
SLBP,0.003477474,0.000814611,-4.523041341,-0.806129824,-0.275416958,0.275416958
CXCR4,0.014822438,0.005207637,-3.453263595,-2.697009151,-0.275407798,0.275407798
GLIS3-AS1,0.025632742,0.010129316,-3.083243113,-3.363794734,-0.275391625,0.275391625
PAICS,0.102331177,0.053311044,-2.157829906,-4.977024315,-0.275344108,0.275344108
RPS6KC1,0.002994679,0.000665976,-4.64423232,-0.599004968,-0.275340612,0.275340612
OR4C6,0.02472862,0.009686529,3.107995661,-3.31926699,0.275311619,0.275311619
RNF43,0.005104785,0.001355213,4.221864122,-1.328243079,0.275273472,0.275273472
KIAA0748,0.192577605,0.114648202,-1.70972645,-5.677410041,-0.275270682,0.275270682
SETX,0.012265745,0.004117455,3.585063631,-2.459800607,0.275194802,0.275194802
CCL16,0.254345344,0.161585037,1.497996378,-5.975710928,0.275132354,0.275132354
CHMP7,0.023087479,0.008921223,3.153601968,-3.237166354,0.275120092,0.275120092
EXOSC7,0.021246139,0.008069635,-3.209253551,-3.136902215,-0.275113049,0.275113049
FAM53B,0.222751351,0.137193736,1.600078469,-5.834970613,0.275000307,0.275000307
HIST1H1E,0.039921427,0.017215801,-2.789893121,-3.888589776,-0.274993601,0.274993601
ECHDC1,0.001769251,0.000325886,-5.084389167,0.137461394,-0.274969542,0.274969542
SPIRE1,0.01320407,0.004516398,3.533080662,-2.553290761,0.274956816,0.274956816
LIMD1,0.053748816,0.024501724,2.594333995,-4.233497909,0.274945036,0.274945036
KIF16B,0.002305654,0.000466914,4.860854828,-0.233369545,0.274872536,0.274872536
LRRC69,0.01334878,0.004579586,3.525281509,-2.567325636,0.274864475,0.274864475
HSFX1,0.005830002,0.001610097,4.121394689,-1.504557616,0.27485744,0.27485744
BPGM,0.004858693,0.001266532,-4.261516985,-1.258935878,-0.274848968,0.274848968
OR10J3,0.028368023,0.011440475,3.015879363,-3.484833797,0.274748213,0.274748213
FBXW4,0.007127114,0.00208653,3.971572539,-1.769237222,0.274734016,0.274734016
FAM102B,0.004421899,0.001118983,4.334391791,-1.131994146,0.274713305,0.274713305
TIMM13,0.02236063,0.008584013,-3.174967675,-3.198681858,-0.274703844,0.274703844
CBX5,0.005735817,0.001576354,4.133703952,-1.482902958,0.27469192,0.27469192
C16orf72,0.007813974,0.002344398,3.904693397,-1.888003821,0.274671416,0.274671416
C12orf10,0.003057762,0.000686153,-4.626201838,-0.629706611,-0.274654884,0.274654884
THEM4,0.004530506,0.001155095,-4.315666375,-1.164557775,-0.274623288,0.274623288
MCM3,0.017627537,0.00642868,3.335664592,-2.908990682,0.274616328,0.274616328
GTF2F1,0.008683427,0.002671413,3.83007481,-2.02091702,0.2745705,0.2745705
CDKL2,0.045230597,0.019937406,-2.708657561,-4.032494199,-0.274552064,0.274552064
TNNI1,0.008563946,0.002628883,3.839227594,-2.004592204,0.274547792,0.274547792
TMEM19,0.002775353,0.000599604,-4.707866819,-0.490975063,-0.27453127,0.27453127
CXorf57,0.044310815,0.019468349,-2.721841807,-4.009194559,-0.274440523,0.274440523
NSF,0.001082895,0.000162292,-5.530885871,0.857535167,-0.274439198,0.274439198
SNX33,0.070816261,0.034139219,2.409430409,-4.553832183,0.274434681,0.274434681
LOC439951,0.009961281,0.003170202,3.732739924,-2.194864796,0.274276425,0.274276425
DEFA3,0.025715854,0.010169695,3.08104042,-3.367755962,0.274252082,0.274252082
FAM176B,0.010543096,0.003401088,3.692919554,-2.266193808,0.274228017,0.274228017
RWDD3,0.000891251,0.000122501,-5.716344129,1.14833236,-0.274226382,0.274226382
ACOT6,0.295160543,0.194590733,-1.379107924,-6.131716384,-0.274221899,0.274221899
VAMP3,0.004092757,0.001011946,-4.393842325,-1.028864947,-0.274201223,0.274201223
PHKB,0.010961608,0.003567895,-3.665846547,-2.314738179,-0.274171916,0.274171916
ARID1A,0.009018053,0.002803955,3.802487238,-2.070156659,0.274150092,0.274150092
NMD3,0.020984652,0.007936169,-3.218511968,-3.120215458,-0.274117972,0.274117972
DUS2L,0.069325015,0.033307775,-2.423228703,-4.530165284,-0.274099237,0.274099237
FLJ32255,0.011058134,0.003608062,-3.659521996,-2.326084121,-0.274085589,0.274085589
C2orf89,0.020992833,0.007944058,3.21796038,-3.121209646,0.27404624,0.27404624
ZNF616,0.002002452,0.000385915,-4.978748267,-0.036952922,-0.274045822,0.274045822
FLRT3,0.074200104,0.036083597,-2.378393102,-4.606911115,-0.273957014,0.273957014
STX18,0.004577004,0.001171242,-4.307490578,-1.178787459,-0.273943106,0.273943106
ZNF669,0.003645356,0.000865857,-4.486571133,-0.868806404,-0.273883736,0.273883736
HLA-F-AS1,0.003442421,0.00080384,-4.531012056,-0.792452621,-0.273820102,0.273820102
RTN3,0.111426104,0.059087474,2.099016111,-5.073310097,0.273803442,0.273803442
RABGAP1,0.119672479,0.064358104,2.049902589,-5.152829019,0.27377495,0.27377495
TUBA8,0.042056276,0.018297875,2.756165475,-3.948433241,0.273755991,0.273755991
MRPL41,0.001683549,0.000303194,-5.129789518,0.211949681,-0.273743882,0.273743882
SCP2,0.003860959,0.000936299,-4.439968932,-0.949122453,-0.273705137,0.273705137
CLIP1,0.018811392,0.006965733,3.290997214,-2.989534416,0.273649184,0.273649184
C3orf38,0.001227764,0.000193325,-5.417102581,0.676698188,-0.273626656,0.273626656
EIF1AY,0.002896484,0.000635859,-4.672240638,-0.551393678,-0.273622652,0.273622652
STEAP2,0.006730767,0.001938956,4.013819413,-1.69440248,0.273546296,0.273546296
CLEC1A,0.043200536,0.018894459,2.738407428,-3.979887603,0.273536832,0.273536832
C1QTNF9,0.010255425,0.003286953,3.712243873,-2.231567599,0.273498083,0.273498083
HNF1B,0.01211997,0.004052538,3.594009138,-2.443722843,0.273497528,0.273497528
ITGB2,0.068478643,0.032823677,2.431417368,-4.516100339,0.273439406,0.273439406
ZNF274,0.004245626,0.001059805,4.36648566,-1.076271986,0.27337166,0.27337166
COX5A,0.018132483,0.006654298,3.316453622,-2.943631679,0.273365808,0.273365808
HAUS2,0.015242229,0.005382816,-3.434758028,-2.730353018,-0.273253039,0.273253039
FBXO33,0.00130379,0.000211696,-5.358537252,0.582904561,-0.273237836,0.273237836
ADAMTS2,0.014897911,0.005237646,3.45004875,-2.702801236,0.273209255,0.273209255
CHN1,0.00833709,0.002541411,-3.858543506,-1.970159897,-0.273116516,0.273116516
CYP27C1,0.05989462,0.027908819,-2.52192644,-4.359717616,-0.273106918,0.273106918
MYT1,0.03674275,0.015598469,2.844455065,-3.791517226,0.273097076,0.273097076
PTCD3,0.052662836,0.023932603,-2.607385173,-4.210652099,-0.273078072,0.273078072
FIGNL2,0.038915005,0.01670653,2.806502956,-3.859071789,0.273062598,0.273062598
ZNF783,0.192910397,0.114880242,1.708503782,-5.679201316,0.273044567,0.273044567
KRT24,0.025162011,0.009896846,3.096099272,-3.340670683,0.273018011,0.273018011
IDH3A,0.006645364,0.001904795,-4.024074298,-1.676260317,-0.273003291,0.273003291
NKIRAS2,0.006962106,0.002024962,3.98880883,-1.738687213,0.272877484,0.272877484
CCNK,0.009042337,0.002813095,3.800634673,-2.073465038,0.27283569,0.27283569
TTYH1,0.002145731,0.000423525,-4.921055027,-0.132841463,-0.272826835,0.272826835
HOOK1,0.017627537,0.006428702,-3.335662685,-2.908994119,-0.272821016,0.272821016
NUDT22,0.004346998,0.001093787,-4.347834136,-1.108641412,-0.272784864,0.272784864
ABCA5,0.006589828,0.001882311,-4.030928679,-1.664139178,-0.272778776,0.272778776
LOC641467,0.006821592,0.001973298,-4.003697073,-1.712319064,-0.272663899,0.272663899
LAS1L,0.002510494,0.000524212,-4.789809826,-0.352620551,-0.272627798,0.272627798
BCL7A,0.004799926,0.001246994,4.270642532,-1.243008974,0.272544143,0.272544143
AP1AR,0.007629272,0.00227324,-3.922356391,-1.856602765,-0.272494836,0.272494836
ZNF544,0.080536489,0.03983191,-2.322872787,-4.701292771,-0.272420882,0.272420882
TPO,0.006641993,0.001903496,4.024468096,-1.675563823,0.272407301,0.272407301
MDM1,0.00121921,0.000191382,-5.423639201,0.687136639,-0.272391109,0.272391109
SYNGAP1,0.376728239,0.265289449,1.172170825,-6.380703493,0.272381605,0.272381605
TXN,0.001573056,0.000276104,-5.188936728,0.3085661,-0.272370378,0.272370378
UCP2,0.011226892,0.00367398,-3.649298058,-2.344429589,-0.272346476,0.272346476
RPN2,0.001195378,0.000185799,-5.442821472,0.717734224,-0.272335648,0.272335648
YWHAB,0.003314454,0.000765232,4.56053168,-0.741865278,0.272310102,0.272310102
NRSN2,0.011343645,0.003721162,3.642095369,-2.357356901,0.272309421,0.272309421
ZNF510,0.002462966,0.00051039,-4.806171909,-0.325098001,-0.272256136,0.272256136
NME1,0.00156354,0.000273976,-5.193841347,0.316555993,-0.272224164,0.272224164
RAB33B,0.048285346,0.021573973,2.664944971,-4.109576548,0.272191413,0.272191413
FAU,0.00396088,0.000970402,-4.418708833,-0.985846259,-0.272158426,0.272158426
LOC100506105,0.002633807,0.000559222,4.750314486,-0.419197979,0.272153028,0.272153028
LGALS3BP,0.05512082,0.025290292,2.576734311,-4.264261213,0.272077338,0.272077338
CEBPZ,0.003466308,0.000810942,-4.525744395,-0.801490719,-0.272039396,0.272039396
C10orf128,0.337833826,0.230455987,1.267675415,-6.269544671,0.272003993,0.272003993
NDUFA10,0.013879666,0.004797101,3.499252933,-2.614178961,0.271995609,0.271995609
ZNF256,0.00782492,0.0023486,3.903667947,-1.889827592,0.271983049,0.271983049
BAIAP2L2,0.075075544,0.036584121,2.370665494,-4.620092056,0.271968019,0.271968019
TNFRSF13B,0.32224933,0.217152631,-1.307230434,-6.221592432,-0.271920115,0.271920115
CYB561D2,0.01320407,0.004516247,-3.533099449,-2.553256954,-0.271891737,0.271891737
LOC100133123,0.317250943,0.212929142,-1.320201474,-6.205631557,-0.271887375,0.271887375
APTX,0.000574221,0.0000624,-6.174235465,1.845239302,-0.2718815,0.2718815
OXT,0.007182098,0.002107046,3.965945736,-1.779215643,0.271875383,0.271875383
C4orf29,0.002743554,0.000590794,-4.716865082,-0.475740244,-0.271855492,0.271855492
TEKT3,0.014366393,0.005005737,-3.475398423,-2.657135985,-0.271790046,0.271790046
PARD6B,0.00660196,0.001887533,4.029329226,-1.666967247,0.271770442,0.271770442
GIGYF1,0.010539059,0.003399477,-3.693187625,-2.265713327,-0.271748723,0.271748723
SLC35B2,0.07500568,0.036536889,-2.371390322,-4.618856317,-0.271733192,0.271733192
PRAF2,0.040457335,0.017474174,2.781652226,-3.903223729,0.271687986,0.271687986
PIGH,0.001547339,0.000270013,-5.203080662,0.331598269,-0.271672011,0.271672011
SERPINA5,0.294468307,0.194028704,-1.38098486,-6.129323335,-0.271658574,0.271658574
ARPC3,0.000530678,0.0000551,-6.261702399,1.974962844,-0.271649548,0.271649548
DEF8,0.004429844,0.001121512,-4.333059575,-1.134309618,-0.27157274,0.27157274
LOC100190939,0.048688774,0.021789892,-2.659423945,-4.119293126,-0.271535543,0.271535543
RPL15,0.005971766,0.001662722,-4.102722681,-1.537433151,-0.271528296,0.271528296
PTGDS,0.129159526,0.070553869,1.996773694,-5.237883016,0.271528135,0.271528135
TGFBR2,0.018533638,0.006841702,3.30099388,-2.971508675,0.271526468,0.271526468
KRIT1,0.007798768,0.002339379,-3.905920975,-1.885820669,-0.271426098,0.271426098
KIAA0528,0.007122134,0.002084237,-3.972204885,-1.768115999,-0.271425352,0.271425352
ANKHD1-EIF4EBP3,0.005713915,0.001568995,-4.136424779,-1.478118391,-0.271350994,0.271350994
ZNF737,0.082382671,0.041007061,2.30650069,-4.728978608,0.271321032,0.271321032
HBG1,0.012448691,0.004194917,3.574576832,-2.478652657,0.27131106,0.27131106
MRPL43,0.007632744,0.002275039,-3.921902768,-1.857408908,-0.2713027,0.2713027
MAPK12,0.044345235,0.019484771,2.721374928,-4.010020029,0.271230606,0.271230606
TRIM6,0.035242052,0.014848814,2.871687972,-3.742955936,0.271222312,0.271222312
ALPK3,0.069325015,0.033308591,2.423214998,-4.530188811,0.271160152,0.271160152
C14orf28,0.016168503,0.0057837,-3.394626016,-2.802685455,-0.271138316,0.271138316
C1orf110,0.007609444,0.002265419,-3.924332642,-1.853090918,-0.271131501,0.271131501
TCHH,0.041802745,0.018171645,-2.759996432,-3.941642573,-0.271068938,0.271068938
TP53INP1,0.03247334,0.013482291,-2.925064542,-3.647585921,-0.27103909,0.27103909
LOC644794,0.010268233,0.003292301,3.711323001,-2.233217191,0.270956276,0.270956276
RTN4IP1,0.002656389,0.000565655,-4.743340265,-0.430975281,-0.270930737,0.270930737
LOC100129516,0.168460292,0.097296439,1.808133138,-5.530853408,0.27090396,0.27090396
SLC19A2,0.050032396,0.022539281,2.640672231,-4.15226119,0.270880598,0.270880598
FAM69A,0.002559179,0.000538202,-4.773703791,-0.379746268,-0.27088051,0.27088051
OR52I1,0.106569226,0.055977963,2.129964025,-5.022784051,0.270779737,0.270779737
TRMT61A,0.015077145,0.005313891,3.441964568,-2.717367227,0.270776693,0.270776693
LOC100131608,0.052597814,0.023898602,2.608174511,-4.209269492,0.270772516,0.270772516
MAPKAPK2,0.010086885,0.003219042,3.724072611,-2.210382628,0.270733889,0.270733889
LOC730020,0.025373866,0.010007684,3.089932073,-3.351764329,0.270722876,0.270722876
ZNF449,0.006367254,0.001800265,-4.05668302,-1.618632851,-0.270721432,0.270721432
LOC642335,0.058671691,0.027218631,2.535867392,-4.335488471,0.270709414,0.270709414
TXNDC5,0.002930126,0.000645491,-4.663133863,-0.566863516,-0.270698741,0.270698741
TM2D3,0.016259464,0.005828289,-3.39033896,-2.810413711,-0.27063606,0.27063606
EDARADD,0.004826258,0.00125539,-4.266702818,-1.249883922,-0.27062772,0.27062772
YTHDF2,0.010387796,0.003338206,3.703482004,-2.247264971,0.270620844,0.270620844
MRPL35,0.002025179,0.000391719,-4.969467376,-0.052348002,-0.270609598,0.270609598
C17orf87,0.003116666,0.000703754,4.610921406,-0.655757041,0.270607083,0.270607083
ARHGEF6,0.011676981,0.003861647,-3.621192717,-2.39488664,-0.270574266,0.270574266
TLR5,0.012760628,0.004322468,3.557734829,-2.508938357,0.270554932,0.270554932
ZNF552,0.005138089,0.001366614,-4.216963466,-1.336819921,-0.270546445,0.270546445
WDR34,0.007831016,0.002351806,-3.902886615,-1.891217251,-0.270520416,0.270520416
IGFBP7,0.050194324,0.022632058,-2.638393588,-4.156263766,-0.270495936,0.270495936
GPR133,0.014077417,0.004881123,3.489520895,-2.631702475,0.270464539,0.270464539
OR10A2,0.023775781,0.009244318,3.133883484,-3.272672126,0.270460476,0.270460476
RNF152,0.020521483,0.00772865,3.233225755,-3.093693403,0.270359606,0.270359606
SNAI1,0.595057482,0.481859334,-0.727308639,-6.801867072,-0.270357653,0.270357653
CNTNAP2,0.090695992,0.046128002,2.240044296,-4.840632006,0.270345543,0.270345543
ANKRD58,0.051593032,0.023370841,2.620570397,-4.187543805,0.270323354,0.270323354
SLC6A9,0.12117618,0.065315903,2.041384974,-5.166533913,0.270321514,0.270321514
LOC100505683,0.14544626,0.081566374,-1.912237548,-5.370999069,-0.270311086,0.270311086
FADD,0.000751734,0.0000943,5.891621738,1.418644654,0.270307408,0.270307408
PCDH7,0.059858587,0.02788852,2.522331605,-4.359013953,0.270302934,0.270302934
TMEM85,0.001550622,0.00027094,-5.200907444,0.32806118,-0.270183792,0.270183792
VPS36,0.025275145,0.009952454,-3.09299652,-3.346252153,-0.27017165,0.27017165
LOC390660,0.0178054,0.006504525,3.329130977,-2.920771929,0.270163348,0.270163348
USP2,0.040334261,0.017413924,2.783563018,-3.899831274,0.270145886,0.270145886
IQCD,0.004618894,0.001187058,-4.29959545,-1.192535478,-0.270132156,0.270132156
ADAM30,0.113533873,0.06044472,-2.085986696,-5.094486637,-0.270131407,0.270131407
PFN1P2,0.008932905,0.002768319,3.809769997,-2.057153048,0.270113808,0.270113808
ARPC4-TTLL3,0.045701563,0.020187859,-2.701743018,-4.044704656,-0.270106922,0.270106922
LOC100131733,0.162931503,0.093484976,1.831863541,-5.494833197,0.270105929,0.270105929
ZBTB20,0.043782099,0.019189868,2.729818982,-3.995086127,0.270040643,0.270040643
SP6,0.025687815,0.010157101,3.081726477,-3.366522209,0.270010275,0.270010275
C10orf125,0.017957963,0.006569996,-3.323553072,-2.930829952,-0.269979178,0.269979178
CATSPER3,0.013340728,0.004576432,-3.525668116,-2.566629874,-0.26997473,0.26997473
BAD,0.007629272,0.002273334,-3.922332764,-1.856644753,-0.269967328,0.269967328
PAX4,0.015002213,0.005280909,3.445446964,-2.711092516,0.269967154,0.269967154
