Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Sepsis	24/529	6.705650628845276E-16	5.991194034571942E-13	0	0	8.401596303297627	293.53842419249014	CSF3;EDN1;CSF2;PLAT;SOD2;TNF;CXCL2;MMP9;ICAM1;MYLK;SOCS3;IL1A;IL6;MMP13;IFI27;TNIP1;IL1B;SAA1;MAP3K8;S100A9;PPARGC1A;S100A8;CFB;TLR2
Reperfusion Injury	14/110	8.984861200404475E-16	7.358601323131265E-13	0	0	23.569023569023564	816.5681579460821	EDN1;PLAT;CXCL1;SOD2;TNF;CXCL2;MMP9;ICAM1;IL1A;IL6;IL1B;MAP3K8;HBEGF;TLR2
Arteriosclerosis	32/1087	1.0660229038451179E-15	8.059133153069091E-13	0	0	5.451633786500391	187.9442111614811	CSF2;ITGB3;PDGFB;PLAT;CXCL1;TNF;ICAM1;MYLK;TYMP;C3;SOCS3;S100A12;PPARGC1A;IL32;EDN1;CCL20;SOD2;MMP9;IL1A;IL6;MMP13;IFI27;MIR221;IL1B;SAA1;ADAM8;LTB;S100A9;S100A8;BIRC3;HBEGF;TLR2
Chronic Obstructive Airway Disease	26/669	1.397504112120858E-15	9.810478867088423E-13	0	0	7.197032608093893	246.1679404545178	SERPINA3;CSF3;CSF2;CXCL1;TNF;CXCL14;CXCL2;CXCL5;ICAM1;SOCS3;PI3;PPARGC1A;IL32;EDN1;CCL20;SOD2;MMP9;IL1A;IL6;MMP13;IL1B;ADAM8;LTB;S100A9;S100A8;TLR2
Virus Diseases	29/875	1.5232104109616756E-15	9.9800746126209E-13	0	0	6.137566137566137	209.40121250234785	IFITM1;CSF2;IFI6;PLAT;CXCL1;TNF;CXCL2;CXCL5;ICAM1;C3;SOCS3;P2RY6;ZC3H12A;IL32;CYP4F3;MX1;MMP9;IL1A;IL6;OAS1;OAS2;OAS3;IL1B;IRF7;S100A9;S100A8;IRF9;BIRC3;TLR2
Rheumatoid Arthritis	40/1833	2.6583178481603067E-15	1.6328717382324683E-12	0	0	4.041138792911843	135.6249938779508	CXCL6;CSF2;BCL2A1;TNFAIP2;TNFAIP3;PLAT;CXCL1;VTCN1;TNF;CXCL2;ICAM1;TYMP;C3;SOCS3;STAT5A;IL32;EDN1;TNFSF14;CCL20;LIF;INHBA;SOD2;MMP9;PSMB9;IL1A;IL6;FAM167A;MMP13;IFI27;MIR221;TNIP1;IL1B;SAA1;SAA2;ADAM8;LTB;S100A9;S100A8;CFB;TLR2
Degenerative polyarthritis	30/976	3.3220210267947845E-15	1.920518979490538E-12	0	0	5.692167577413478	189.76663851423427	CXCL6;CSF2;ITGB3;CXCL1;TNF;CXCL2;ICAM1;C3;SOCS3;ZC3H12A;S100A12;PI3;PPARGC1A;IL32;EDN1;TNFSF14;MRGPRX3;CCL20;LIF;INHBA;SOD2;MMP9;IL1A;IL6;MMP13;IL1B;SAA1;S100A9;S100A8;TLR2
Autoimmune Diseases	31/1060	4.010978317966503E-15	2.18999416160971E-12	0	0	5.415793151642208	179.53214144430248	CSF3;CSF2;TNFAIP3;CXCL1;VTCN1;TNF;CXCL5;ICAM1;C3;HELZ2;CYP27B1;ZC3H12A;STAT5A;IL32;TNFSF14;LIF;SOD2;MMP9;PSMB9;IL1A;IL6;TNIP1;IL1B;IRF7;SAA1;LTB;S100A9;S100A8;CFB;BIRC3;TLR2
Tumor Progression	42/2090	7.1525021490364E-15	3.69972584845946E-12	0	0	3.7214247740563526	121.21169539583406	CXCL6;CSF3;IFITM1;CSF2;BCL2A1;ITGB3;TNFAIP2;CXCL1;VTCN1;TNF;CXCL14;CXCL5;ICAM1;TYMP;CYP27B1;SOCS3;S100A12;MAP3K8;STAT5A;IL32;EDN1;MRGPRX3;CCL20;LIF;INHBA;PDZK1IP1;SOD2;MMP9;IL1A;IL6;VNN1;IFI27;MIR221;IL1B;IRF7;SAA1;LTB;XAF1;S100A9;S100A8;HBEGF;TLR2
Myocardial Infarction	29/966	1.9532565221850742E-14	9.598302550017453E-12	0	0	5.559389617360631	175.49154704692717	CXCL6;SERPINA3;CSF3;CSF2;ITGB3;PLAT;TNF;ICAM1;MYLK;C3;SOCS3;ZC3H12A;PI3;PPARGC1A;EDN1;CYP4F3;LIF;INHBA;SOD2;MMP9;IL1A;IL6;MMP13;IL1B;ADAM8;LTB;S100A9;HBEGF;TLR2
Atherosclerosis	31/1134	2.5017182812008346E-14	1.1708041556019907E-11	0	0	5.062381605591481	158.54981029186249	CSF2;ITGB3;PDGFB;PLAT;CXCL1;TNF;ICAM1;MYLK;TYMP;C3;SOCS3;S100A12;PPARGC1A;IL32;EDN1;CCL20;SOD2;MMP9;IL1A;IL6;MMP13;IFI27;MIR221;IL1B;SAA1;ADAM8;LTB;S100A9;S100A8;HBEGF;TLR2
Lung diseases	20/393	2.7514715135493466E-14	1.2291573652346808E-11	0	0	9.424182452172273	294.2611953398808	IL32;SERPINA3;CSF3;EDN1;CSF2;SLC6A14;CXCL1;SOD2;TNF;CXCL2;MMP9;CXCL5;MYLK;IL1A;IL6;IL1B;PI3;SPRR2A;BIRC3;TLR2
Arthritis	24/630	3.1880332504799176E-14	1.3622604689442014E-11	0	0	7.0546737213403885	219.23659337676202	IL32;CXCL6;CSF3;CSF2;TNFSF14;LIF;TNFAIP3;CXCL1;TNF;CXCL2;MMP9;ICAM1;PSMB9;C3;SOCS3;IL1A;IL6;MMP13;IL1B;SAA1;LTB;S100A9;S100A8;TLR2
Neutrophilia (disorder)	11/63	3.291046610771728E-14	1.3476835871110225E-11	0	0	32.333921222810105	1003.8061209831887	IL1A;CSF3;IL6;CSF2;IL1B;CXCL2;TNF;MMP9;CXCL5;BIRC3;TLR2
Ulcerative Colitis	28/915	3.7915802395720684E-14	1.4905460237805715E-11	0	0	5.666869054847196	175.12556886441266	CXCL6;TNFAIP3;CXCL1;TNF;CXCL5;ICAM1;CYP27B1;SOCS3;IRAK2;S100A12;MAP3K8;PI3;STAT5A;CCL20;SLC6A14;PDZK1IP1;SOD2;MMP9;IL1A;IL6;VNN1;IL1B;SAA1;S100A9;S100A8;CFB;BIRC3;TLR2
Vascular Diseases	20/401	4.019060936638208E-14	1.519205034049243E-11	0	0	9.236168837166343	284.8909487801342	STAT5A;CXCL6;SERPINA3;CSF3;EDN1;ITGB3;SOD2;TNF;MMP9;ICAM1;MYLK;SOCS3;IL1A;IL6;MMP13;IFI27;MIR221;IL1B;S100A9;S100A8
Neoplasm Metastasis	56/3920	6.73126675858822E-14	2.4501811001261122E-11	0	0	2.645502645502645	80.23658187917357	CXCL6;SERPINA3;CSF3;IFITM1;CSF2;ITGB3;TNFAIP2;TNFAIP3;PLAT;CXCL1;CXCL3;TNF;CXCL14;CXCL2;CXCL5;ICAM1;MYLK;RND1;ZC3H12A;EPSTI1;MAP3K8;NANOS1;EDN1;SLC6A14;MMP9;IL1A;MMP13;IFI27;IL1B;IRF7;ADAM8;S100A9;S100A8;BIRC3;HBEGF;BCL2A1;PDGFB;VTCN1;NID1;TYMP;CYP27B1;SOCS3;SPRR2A;PPARGC1A;STAT5A;IL32;TNFSF14;CCL20;LIF;INHBA;SOD2;BST2;IL6;MIR221;SAA1;XAF1
melanoma	44/2454	7.339695231504784E-14	2.576233026258179E-11	0	0	3.320353768601527	100.41710700570549	CXCL6;CSF3;CSF2;BCL2A1;ITGB3;PDGFB;PLAT;CXCL1;VTCN1;NID1;TNF;CXCL2;CXCL5;ICAM1;TYMP;CYP27B1;SOCS3;MAP3K8;PPARGC1A;IL32;GBP5;EDN1;TNFSF14;MRGPRX3;MX2;LIF;PDZK1IP1;SOD2;MMP9;PSMB9;BST2;IL1A;IL6;MMP13;IFI27;MIR221;OAS1;IL1B;MAFF;XAF1;S100A9;IRF9;BIRC3;TLR2
Dermatitis	15/190	1.0734911897572644E-13	3.6380246251497914E-11	0	0	14.61988304093567	436.58903622289284	STAT5A;CSF3;EDN1;TNFSF14;CXCL1;TNF;MMP9;ICAM1;IL1A;IL6;TNIP1;IL1B;S100A9;S100A8;TLR2
Right Middle Cerebral Artery Infarction	9/35	1.7451719963534083E-13	5.7171834600537655E-11	0	0	47.61904761904761	1398.8930044228537	C3;EDN1;IL6;IL1B;PLAT;SOD2;CXCL2;MMP9;ICAM1
Embolic Infarction, Middle Cerebral Artery	9/35	1.7451719963534083E-13	5.5327581871488055E-11	0	0	47.61904761904761	1398.8930044228537	C3;EDN1;IL6;IL1B;PLAT;SOD2;CXCL2;MMP9;ICAM1
Thrombotic Infarction, Middle Cerebral Artery	9/35	1.7451719963534083E-13	5.359859493800405E-11	0	0	47.61904761904761	1398.8930044228537	C3;EDN1;IL6;IL1B;PLAT;SOD2;CXCL2;MMP9;ICAM1
Left Middle Cerebral Artery Infarction	9/35	1.7451719963534083E-13	5.197439509139787E-11	0	0	47.61904761904761	1398.8930044228537	C3;EDN1;IL6;IL1B;PLAT;SOD2;CXCL2;MMP9;ICAM1
Middle Cerebral Artery Embolus	9/35	1.7451719963534083E-13	5.0445736412239105E-11	0	0	47.61904761904761	1398.8930044228537	C3;EDN1;IL6;IL1B;PLAT;SOD2;CXCL2;MMP9;ICAM1
Middle Cerebral Artery Syndrome	9/35	1.7451719963534083E-13	4.9004429657603704E-11	0	0	47.61904761904761	1398.8930044228537	C3;EDN1;IL6;IL1B;PLAT;SOD2;CXCL2;MMP9;ICAM1
Middle Cerebral Artery Thrombosis	9/35	1.7451719963534083E-13	4.7643195500448044E-11	0	0	47.61904761904761	1398.8930044228537	C3;EDN1;IL6;IL1B;PLAT;SOD2;CXCL2;MMP9;ICAM1
Squamous cell carcinoma	38/1876	1.841139784375892E-13	4.890465351580072E-11	0	0	3.7510858406380794	109.99392052435267	CSF3;CSF2;PLAT;CXCL1;CXCL3;TNF;CXCL14;CXCL5;ICAM1;TYMP;SOCS3;KRT6B;STAT5A;IL32;EDN1;KRT4;MRGPRX3;MYEOV;CYP4F3;LIF;INHBA;SOD2;MMP9;IL1A;IL6;MMP13;IFI27;MIR221;IL1B;IRF7;ADAM8;S100A9;S100A8;IRF9;IVL;BIRC3;HBEGF;TLR2
Peritonitis	13/128	1.9982457624135835E-13	5.1680945665791315E-11	0	0	18.80787037037037	549.9672669511648	CSF3;CXCL1;TNF;CXCL5;ICAM1;SOCS3;IL6;IL1B;LTB;S100A8;CFB;BIRC3;TLR2
Pneumonitis	18/339	2.972045355426402E-13	7.489554295674533E-11	0	0	9.83284169124877	283.62198447662627	CSF2;CCL20;CXCL1;TNF;CXCL2;MMP9;CXCL5;ICAM1;MYLK;SOCS3;IL1A;IL6;IL1B;ZC3H12A;S100A12;ADAM8;S100A9;TLR2
Hepatitis C	25/783	4.4944276065852095E-13	1.104280862937986E-10	0	0	5.912681519322643	168.10207587822816	SERPINA3;IFITM1;IFI6;CXCL1;TNF;ICAM1;C3;SOCS3;IRAK2;ZC3H12A;SPRR2A;PPARGC1A;STAT5A;MX1;SOD2;MMP9;BST2;IL1A;IL6;IFI27;OAS1;IL1B;IRF7;SAA1;TLR2
Cervix carcinoma	29/1105	5.82798813131767E-13	1.3970113988924404E-10	0	0	4.860063683593095	136.91253500175333	SERPINA3;BCL2A1;TNFAIP2;PLAT;VTCN1;TNF;ICAM1;TYMP;SOCS3;STAT5A;EDN1;TNFSF14;CCL20;SLC6A14;MMP9;PSMB9;IL1A;IL6;IFI27;OAS3;IL1B;XAF1;S100A9;S100A8;IRF9;IVL;BIRC3;HBEGF;TLR2
Diabetes Mellitus, Insulin-Dependent	27/956	7.940493801291075E-13	1.8580755495021117E-10	0	0	5.2301255230125525	145.71982606694036	CSF2;TNFAIP3;VTCN1;TNF;ICAM1;C3;CYP27B1;SOCS3;ZC3H12A;S100A12;SPRR2A;PPARGC1A;STAT5A;IL32;CCL20;SOD2;MMP9;PSMB9;IL1A;IL6;FAM167A;OAS1;IL1B;IRF7;S100A8;CFB;TLR2
Malignant neoplasm of breast	62/5054	1.1978213311664384E-12	2.7377181494659897E-10	0	0	2.2717612745313573	62.36102095627587	SERPINA3;CSF3;IFITM1;CSF2;ITGB3;TNFAIP2;TNFAIP3;PLAT;CXCL1;CXCL3;TNF;CXCL14;CXCL2;CXCL5;ICAM1;MYLK;RND1;ZC3H12A;EPSTI1;MAP3K8;NANOS1;EDN1;MYEOV;SLC6A14;MMP9;IL1A;MMP13;IFI27;OAS3;IL1B;MAP7D2;IRF7;ADAM8;S100A9;S100A8;IRF9;BIRC3;HBEGF;TLR2;BCL2A1;VTCN1;TYMP;C3;CYP27B1;SOCS3;S100A12;PI3;SPRR2A;PPARGC1A;STAT5A;IL32;IFITM10;TNFSF14;CCL20;CYP4F3;LIF;PDZK1IP1;SOD2;BST2;IL6;MIR221;TNIP1
Multiple Myeloma	31/1312	1.2034451193329916E-12	2.688058780182873E-10	0	0	4.3755645889792225	120.09101385050117	CSF3;CSF2;BCL2A1;ITGB3;IFI6;TNFAIP3;TNF;ICAM1;SOCS3;MAP3K8;STAT5A;IL32;TNFSF14;CCL20;MYEOV;LIF;PDZK1IP1;SOD2;MMP9;BST2;IL1A;IL6;MMP13;IFI27;MIR221;OAS3;IL1B;XAF1;S100A9;BIRC3;TLR2
Colitis	22/608	1.2182155797008582E-12	2.6605828260666743E-10	0	0	6.700779727095516	183.82673832981064	STAT5A;CSF3;CSF2;TNFSF14;CCL20;TNF;MMP9;CXCL5;ICAM1;SOCS3;IL1A;IL6;VNN1;MMP13;MIR221;IL1B;S100A12;MAP3K8;S100A9;PPARGC1A;BIRC3;TLR2
Liver neoplasms	31/1321	1.4388838336590355E-12	3.07420659069587E-10	0	0	4.3457537780020745	118.49633498342851	SERPINA3;CSF3;CSF2;IFI6;PLAT;TNF;ICAM1;TYMP;C3;CYP27B1;SOCS3;ZC3H12A;MAP3K8;PPARGC1A;STAT5A;CCL20;CYP4F3;LIF;SOD2;MMP9;BST2;IL1A;IL6;IFI27;IL1B;LTB;S100A9;IRF9;BIRC3;HBEGF;TLR2
Coronary Artery Disease	27/981	1.4533897953375123E-12	3.039130831612143E-10	0	0	5.096839959225281	138.925191121241	CXCL6;CSF3;CSF2;BCL2A1;ITGB3;TNFAIP3;PLAT;CXCL1;TNF;CXCL5;ICAM1;MYLK;C3;S100A12;EDN1;SOD2;MMP9;IL1A;IL6;MMP13;IL1B;SAA1;S100A9;S100A8;CFB;HBEGF;TLR2
Infection	20/492	1.7823698727104034E-12	3.6494023143745505E-10	0	0	7.527853056308341	203.65159024370723	CSF3;BCL2A1;CCL20;MX1;PDGFB;PLAT;SOD2;TNF;MMP9;CXCL5;ICAM1;SOCS3;IL6;OAS1;IL1B;IRF7;SAA1;PI3;BIRC3;TLR2
Crohn Disease	26/912	1.86128179913097E-12	3.733199494256975E-10	0	0	5.27940220922677	142.59536405175083	CXCL6;CSF2;ITGB3;TNFAIP3;TNF;CXCL5;ICAM1;C3;SOCS3;S100A12;MAP3K8;STAT5A;IL32;TNFSF14;CCL20;CYP4F3;MMP9;PSMB9;IL1A;IL6;IL1B;SAA1;LTB;S100A9;CFB;TLR2
Breast Carcinoma	61/4963	2.066295297756191E-12	4.061510037269569E-10	0	0	2.2761024171461406	61.23913602222858	CSF3;IFITM1;CSF2;ITGB3;TNFAIP2;TNFAIP3;PLAT;CXCL1;CXCL3;TNF;CXCL14;CXCL2;CXCL5;ICAM1;MYLK;RND1;ZC3H12A;EPSTI1;MAP3K8;NANOS1;EDN1;MYEOV;SLC6A14;MMP9;IL1A;MMP13;IFI27;OAS3;IL1B;IRF7;ADAM8;S100A9;S100A8;IRF9;BIRC3;HBEGF;TLR2;BCL2A1;PDGFB;VTCN1;NID1;TYMP;C3;CYP27B1;SOCS3;S100A12;PI3;PPARGC1A;STAT5A;IL32;IFITM10;TNFSF14;CCL20;CYP4F3;LIF;PDZK1IP1;SOD2;BST2;IL6;MIR221;TNIP1
Hepatitis C, Chronic	18/386	2.656983260529321E-12	5.120163036172974E-10	0	0	8.635578583765112	230.1712413584648	CSF2;MX1;CXCL1;SOD2;TNF;MMP9;C3;CYP27B1;SOCS3;IL1A;IL6;OAS1;IL1B;IRF7;MAP3K8;S100A9;PPARGC1A;TLR2
Subarachnoid Hemorrhage	11/93	2.8502288199565172E-12	5.386932469717818E-10	0	0	21.90362405416169	582.2776587193055	SERPINA3;IL1A;EDN1;IL6;CSF2;ITGB3;IL1B;S100A12;PLAT;TNF;MMP9
Mammary Neoplasms	41/2387	3.2447223862944793E-12	6.016817285377763E-10	0	0	3.1808096324225352	84.14511040874937	CSF3;CSF2;BCL2A1;ITGB3;PDGFB;PLAT;CXCL1;CXCL3;TNF;CXCL2;CXCL5;ICAM1;MYLK;RND1;TYMP;CYP27B1;SOCS3;ZC3H12A;MAP3K8;PPARGC1A;STAT5A;EDN1;CCL20;MYEOV;CYP4F3;LIF;PDZK1IP1;SOD2;MMP9;BST2;IL1A;IL6;MMP13;IFI27;MIR221;TNIP1;IL1B;ADAM8;S100A8;IRF9;HBEGF
Familial M??ni??re disease	12/125	3.485502217401188E-12	6.343614035670162E-10	0	0	17.77777777777778	469.0206039787669	IL1A;IL6;CSF2;TNIP1;IL1B;IRF7;TNFAIP3;CXCL1;SOD2;MMP9;ICAM1;TLR2
Malignant neoplasm of stomach	41/2398	3.7682277952741644E-12	6.733480503991725E-10	0	0	3.166218762549038	83.28553644538938	CSF3;IFITM1;BCL2A1;TNFAIP2;IFI6;PLAT;CXCL1;VTCN1;NID1;TNF;CXCL14;CXCL5;ICAM1;TYMP;SOCS3;ZC3H12A;MAP3K8;SPRR2A;STAT5A;IL32;TNFSF14;CCL20;CYP4F3;MX1;INHBA;SOD2;MMP9;IL1A;IL6;MMP13;IFI27;MIR221;IL1B;IRF7;XAF1;S100A9;S100A8;CFB;BIRC3;HBEGF;TLR2
West Nile viral infection	10/72	5.588582023511369E-12	9.807961451262452E-10	0	0	25.720164609053498	666.417065946411	IL1A;SOCS3;CSF2;OAS1;IL1B;MX1;IRF7;TNF;MMP9;PSMB9
Liver diseases	21/606	9.596274160479975E-12	1.6545996920911789E-9	0	0	6.417308397506417	162.8048436079036	IL32;SERPINA3;CSF3;EDN1;CCL20;CXCL1;SOD2;TNF;CXCL2;MMP9;ICAM1;SOCS3;IL1A;IL6;MMP13;MIR221;IL1B;ADAM8;SPRR2A;S100A9;TLR2
Ulcer	13/184	2.1230575073408945E-11	3.597484341749364E-9	0	0	13.083735909822865	321.54038223279133	CSF2;TNFSF14;MX1;PDGFB;SOD2;TNF;MMP9;SOCS3;IL1A;IL6;IL1B;S100A9;S100A8
Synovitis	11/112	2.25413434644551E-11	3.754852941841775E-9	0	0	18.187830687830687	445.8868552591943	IL1A;IL6;EDN1;CSF2;MMP13;IL1B;TNFAIP3;ADAM8;TNF;ICAM1;TYMP
Polymyositis, Idiopathic	5/6	2.497828661722593E-11	4.091443347901607E-9	0	0	154.320987654321	3767.4404635442347	CYP27B1;IL1A;IL6;IL1B;TNF
Polymyositis Ossificans	5/6	2.497828661722593E-11	4.024370506132729E-9	0	0	154.320987654321	3767.4404635442347	CYP27B1;IL1A;IL6;IL1B;TNF
Malignant tumor of colon	36/2001	3.201190062270642E-11	5.074402569676753E-9	0	0	3.331667499583541	80.50945656440062	CSF3;CSF2;ITGB3;PLAT;CXCL1;NID1;TNF;ICAM1;TYMP;C3;CYP27B1;SOCS3;MAP3K8;PPARGC1A;STAT5A;IL32;EDN1;CCL20;MYEOV;CYP4F3;SOD2;MMP9;IL1A;IL6;MMP13;IFI27;OAS1;OAS3;IL1B;SAA1;XAF1;S100A9;IRF9;BIRC3;HBEGF;TLR2
Colorectal Carcinoma	44/2931	3.504523542795139E-11	5.467056726760417E-9	0	0	2.7799891327697535	66.92651880393625	CXCL6;IFITM1;CSF2;BCL2A1;ITGB3;TNFAIP3;CXCL1;VTCN1;TNF;CXCL14;CXCL5;ICAM1;TYMP;CYP27B1;SOCS3;IRAK2;MAP3K8;PPARGC1A;KRT6B;STAT5A;IL32;EDN1;TNFSF14;CCL20;MYEOV;SLC6A14;CYP4F3;SOD2;MMP9;IL1A;IL6;VNN1;MMP13;IFI27;MIR221;IL1B;IRF7;ADAM8;XAF1;S100A9;S100A8;BIRC3;HBEGF;TLR2
Sarcoidosis	14/236	3.6088259104929804E-11	5.541803288800783E-9	0	0	10.98556183301946	264.14842239842744	CSF2;VTCN1;SOD2;TNF;CXCL5;CYP27B1;IL1A;IL6;IL1B;XAF1;S100A9;PPARGC1A;S100A8;TLR2
Inflammatory disorder	13/192	3.6295355449923323E-11	5.487857744028407E-9	0	0	12.538580246913579	301.41908498694437	CSF2;CCL20;TNF;ICAM1;MYLK;IL1A;IL6;IL1B;ZC3H12A;SAA1;S100A12;MAP3K8;TLR2
Epithelial hyperplasia of skin	9/61	3.8168189608694306E-11	5.68359041627648E-9	0	0	27.322404371584696	655.4376688521103	IL1A;IL6;CCL20;IL1B;PI3;TNF;MMP9;S100A8;HBEGF
Aortic Aneurysm, Abdominal	15/288	4.3496082439187545E-11	6.380291018094554E-9	0	0	9.645061728395062	230.1152608097869	STAT5A;CSF2;PLAT;SOD2;TNF;MMP9;ICAM1;MYLK;C3;IL1A;IL6;MMP13;MIR221;IL1B;LTB
Infarction, Middle Cerebral Artery	11/119	4.389290356032135E-11	6.343815532218209E-9	0	0	17.11795829442888	408.2507828341559	C3;CSF3;IL6;EDN1;IL1B;PLAT;SOD2;TNF;CXCL2;MMP9;ICAM1
Giant Cell Arteritis	11/119	4.389290356032135E-11	6.2518761766788145E-9	0	0	17.11795829442888	408.2507828341559	IL32;IL6;EDN1;ITGB3;MX1;TNFAIP3;TNF;S100A9;MMP9;S100A8;ICAM1
Hodgkin Disease	20/592	5.02402393162293E-11	7.053729599998594E-9	0	0	6.256256256256257	148.36214233183168	STAT5A;CSF3;CSF2;BCL2A1;CCL20;ITGB3;TNFAIP3;CXCL3;TNF;MMP9;ICAM1;PSMB9;IL1A;IL6;IFI27;OAS3;IL1B;S100A12;MAP3K8;LTB
Stomach Carcinoma	39/2378	5.7760478195997384E-11	7.995351826905103E-9	0	0	3.0370993365106065	71.59875536181238	CSF3;IFITM1;BCL2A1;TNFAIP2;IFI6;PLAT;CXCL1;VTCN1;TNF;CXCL14;CXCL5;ICAM1;TYMP;SOCS3;ZC3H12A;S100A12;MAP3K8;STAT5A;IL32;TNFSF14;CCL20;CYP4F3;INHBA;SOD2;MMP9;IL1A;IL6;MMP13;IFI27;MIR221;IL1B;IRF7;XAF1;S100A9;S100A8;CFB;BIRC3;HBEGF;TLR2
Malignant neoplasm of prostate	46/3239	6.598657970479234E-11	9.007168129704155E-9	0	0	2.6299841057482305	61.650955809959335	SERPINA3;CSF3;CSF2;BCL2A1;ITGB3;PDGFB;PLAT;CXCL1;NID1;TNF;CXCL14;CXCL5;ICAM1;MYLK;CYP27B1;SOCS3;MAP3K8;PPARGC1A;STAT5A;IL32;EDN1;CCL20;CYP4F3;MX1;LIF;INHBA;PDZK1IP1;SOD2;MMP9;PSMB9;IL1A;IL6;MMP13;IFI27;MIR221;OAS1;OAS2;OAS3;IL1B;ADAM8;XAF1;S100A9;S100A8;IRF9;BIRC3;HBEGF
Inflammatory dermatosis	12/163	8.103326503316035E-11	1.0909519571861642E-8	0	0	13.6332651670075	316.78474936796306	STAT5A;IL1A;IL6;EDN1;TNFSF14;IL1B;CXCL1;TNF;S100A9;MMP9;ICAM1;TLR2
